model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet4Aug,1,10,2019-02-14 17:23,1.1769573405637581,0.4847689075630252,0.001,adam,cross_entropy,444,210,106,132,609,1379,423,804,15,25,8,15,401,826,298,1861
MaunaNet4Aug,2,10,2019-02-14 17:26,1.1063106989456435,0.5338760504201681,0.001,adam,cross_entropy,609,247,139,163,494,1433,329,637,18,23,30,18,348,737,337,1994
MaunaNet4Aug,3,10,2019-02-14 17:30,1.0637305954755365,0.5470063025210085,0.001,adam,cross_entropy,644,248,164,179,478,1457,278,605,37,51,72,35,310,684,321,1993
MaunaNet4Aug,4,10,2019-02-14 17:33,1.0212381653866525,0.5871848739495799,0.001,adam,cross_entropy,746,235,148,180,412,1519,274,501,34,36,118,42,277,650,295,2089
MaunaNet4Aug,5,10,2019-02-14 17:37,0.9909607838776152,0.6088497899159664,0.001,adam,cross_entropy,792,207,147,191,377,1572,256,441,53,65,146,53,247,596,286,2127
MaunaNet4Aug,6,10,2019-02-14 17:40,0.9536812345860368,0.633140756302521,0.001,adam,cross_entropy,803,228,139,193,345,1651,216,413,65,54,206,44,256,507,274,2162
MaunaNet4Aug,7,10,2019-02-14 17:44,0.9188748375844148,0.6479779411764706,0.001,adam,cross_entropy,850,203,127,188,296,1651,218,372,70,64,255,73,253,522,235,2179
MaunaNet4Aug,8,10,2019-02-14 17:47,0.9085764480849444,0.6571691176470589,0.001,adam,cross_entropy,873,192,132,194,243,1678,204,362,90,78,285,87,263,492,214,2169
MaunaNet4Aug,1,10,2019-02-14 18:01,1.188342207569187,0.47846638655462187,0.001,adam,cross_entropy,202,118,55,85,537,1404,460,753,56,65,66,65,380,954,384,1972
MaunaNet4Aug,2,10,2019-02-14 18:04,1.1179955692614538,0.5120798319327731,0.001,adam,cross_entropy,280,104,50,113,436,1428,405,615,124,116,146,101,335,893,364,2046
