model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
BenchMarkBn,1,100,2019-02-06 21:03,1.2812950004965573,0.39784663865546216,0.001,adam,cross_entropy,236,97,59,129,439,1031,388,907,3,13,0,13,791,1299,388,1763
BenchMarkBn,2,100,2019-02-06 21:05,1.2568570153187897,0.42909663865546216,0.001,adam,cross_entropy,305,78,69,106,421,1159,351,902,0,0,0,0,743,1203,415,1804
BenchMarkBn,3,100,2019-02-06 21:07,1.2242983801890228,0.45601365546218486,0.001,adam,cross_entropy,430,143,113,180,296,1138,342,727,0,1,0,0,743,1158,380,1905
BenchMarkBn,4,100,2019-02-06 21:09,1.2019508491128177,0.47098214285714285,0.001,adam,cross_entropy,461,127,110,166,309,1156,349,676,0,1,0,0,699,1156,376,1970
BenchMarkBn,5,100,2019-02-06 21:12,1.206414950096001,0.4696691176470588,0.001,adam,cross_entropy,458,124,85,170,282,1130,350,651,0,0,1,3,729,1186,399,1988
BenchMarkBn,6,100,2019-02-06 21:14,1.1715740915072166,0.48240546218487396,0.001,adam,cross_entropy,545,130,100,182,293,1198,365,699,0,0,0,0,631,1112,370,1931
BenchMarkBn,7,100,2019-02-06 21:16,1.1613430734408103,0.4951418067226891,0.001,adam,cross_entropy,622,155,109,159,291,1203,398,706,5,2,0,1,551,1080,328,1946
BenchMarkBn,8,100,2019-02-06 21:18,1.151122141692598,0.49080882352941174,0.001,adam,cross_entropy,632,116,92,145,334,1241,410,800,15,36,12,14,488,1047,321,1853
BenchMarkBn,9,100,2019-02-06 21:20,1.1331518140889831,0.5141806722689075,0.001,adam,cross_entropy,663,138,89,155,284,1217,380,618,3,12,4,7,519,1073,362,2032
BenchMarkBn,10,100,2019-02-06 21:22,1.1218299219163799,0.5246848739495799,0.001,adam,cross_entropy,754,136,95,166,285,1281,416,685,0,0,0,0,430,1023,324,1961
BenchMarkBn,11,100,2019-02-06 21:24,1.1172378022791976,0.524422268907563,0.001,adam,cross_entropy,727,134,114,159,252,1245,395,631,0,0,0,0,490,1061,326,2022
BenchMarkBn,12,100,2019-02-06 21:26,1.1026681156481726,0.538077731092437,0.001,adam,cross_entropy,804,152,110,185,227,1319,398,653,2,7,8,7,436,962,319,1967
BenchMarkBn,13,100,2019-02-06 21:28,1.089775473384534,0.5451680672268907,0.001,adam,cross_entropy,778,138,104,172,235,1311,382,585,4,11,15,7,452,980,334,2048
BenchMarkBn,14,100,2019-02-06 21:30,1.0857622825493247,0.5522584033613446,0.001,adam,cross_entropy,796,106,106,145,221,1339,356,619,4,19,34,11,448,976,339,2037
BenchMarkBn,15,100,2019-02-06 21:32,1.0680438542770128,0.5659138655462185,0.001,adam,cross_entropy,823,124,105,138,218,1343,358,558,10,37,58,30,418,936,314,2086
BenchMarkBn,16,100,2019-02-06 21:34,1.0603090059959281,0.5680147058823529,0.001,adam,cross_entropy,848,111,86,131,211,1342,347,609,14,34,88,24,396,953,314,2048
BenchMarkBn,17,100,2019-02-06 21:35,1.0426874322406317,0.569327731092437,0.001,adam,cross_entropy,858,126,96,161,252,1381,362,626,5,42,101,29,354,891,276,1996
BenchMarkBn,18,100,2019-02-06 21:37,1.0477644063658633,0.5743172268907563,0.001,adam,cross_entropy,864,93,72,129,238,1329,334,582,11,47,116,36,356,971,313,2065
BenchMarkBn,19,100,2019-02-06 21:39,1.0289637678760593,0.5871848739495799,0.001,adam,cross_entropy,872,87,85,120,226,1426,334,598,4,36,108,28,367,891,308,2066
BenchMarkBn,20,100,2019-02-06 21:41,1.0562157711740268,0.5667016806722689,0.001,adam,cross_entropy,811,85,87,112,198,1223,324,504,9,42,105,19,451,1090,319,2177
BenchMarkBn,21,100,2019-02-06 21:43,1.0410692893852622,0.5735294117647058,0.001,adam,cross_entropy,857,85,85,128,265,1448,377,692,11,39,104,33,336,868,269,1959
BenchMarkBn,22,100,2019-02-06 21:45,1.0118880837650623,0.5907300420168067,0.001,adam,cross_entropy,884,87,75,105,214,1377,351,555,8,51,123,37,363,925,286,2115
BenchMarkBn,23,100,2019-02-06 21:47,1.0131274077851893,0.5886292016806722,0.001,adam,cross_entropy,840,79,79,117,254,1445,349,597,9,45,116,16,366,871,291,2082
BenchMarkBn,24,100,2019-02-06 21:49,1.0084209118859242,0.5974264705882353,0.001,adam,cross_entropy,898,101,80,136,205,1447,321,575,14,48,142,38,352,844,292,2063
BenchMarkBn,25,100,2019-02-06 21:51,1.0070119308213057,0.603203781512605,0.001,adam,cross_entropy,883,106,92,107,250,1461,330,586,7,51,156,25,329,822,257,2094
BenchMarkBn,26,100,2019-02-06 21:52,1.004933825993942,0.5976890756302521,0.001,adam,cross_entropy,875,90,84,109,212,1443,343,587,13,47,141,23,369,860,267,2093
BenchMarkBn,27,100,2019-02-06 21:54,0.99551617897163,0.6037289915966386,0.001,adam,cross_entropy,877,82,94,98,207,1423,297,564,17,63,179,31,368,872,265,2119
BenchMarkBn,28,100,2019-02-06 21:56,0.9905904349634203,0.6087184873949579,0.001,adam,cross_entropy,906,101,82,119,204,1469,327,540,10,46,135,27,349,824,291,2126
BenchMarkBn,29,100,2019-02-06 21:58,0.9842465287548,0.6092436974789915,0.001,adam,cross_entropy,920,83,80,80,193,1441,321,577,15,53,151,27,341,863,283,2128
