model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
BenchMarkAugBn,1,100,2019-02-14 18:48,1.2964571936655853,0.37801995798319327,0.001,adam,cross_entropy,14,20,4,19,357,924,439,911,5,18,6,10,799,1579,516,1935
BenchMarkAugBn,2,100,2019-02-14 18:51,1.2880201178081965,0.3866859243697479,0.001,adam,cross_entropy,0,0,0,1,565,1479,645,1408,0,0,0,0,610,1062,320,1466
BenchMarkAugBn,3,100,2019-02-14 18:54,1.2721715377548994,0.4024422268907563,0.001,adam,cross_entropy,2,3,3,6,456,1074,524,880,0,0,0,0,717,1464,438,1989
BenchMarkAugBn,4,100,2019-02-14 18:58,1.2739803508176641,0.4006039915966387,0.001,adam,cross_entropy,0,0,0,0,493,1249,579,1073,0,1,0,0,682,1291,386,1802
BenchMarkAugBn,5,100,2019-02-14 19:01,1.255372904114804,0.4120273109243697,0.001,adam,cross_entropy,14,6,2,17,525,1265,551,999,0,0,1,1,636,1270,411,1858
BenchMarkAugBn,6,100,2019-02-14 19:04,1.2599184715141685,0.4028361344537815,0.001,adam,cross_entropy,7,3,2,4,722,1705,723,1515,0,0,0,0,446,833,240,1356
BenchMarkAugBn,7,100,2019-02-14 19:07,1.239845922437765,0.42502626050420167,0.001,adam,cross_entropy,12,4,0,8,565,1259,533,900,0,0,0,1,598,1278,432,1966
BenchMarkAugBn,8,100,2019-02-14 19:10,1.2334815849692136,0.4252888655462185,0.001,adam,cross_entropy,31,12,0,12,646,1443,614,1098,0,0,0,0,498,1086,351,1765
BenchMarkAugBn,9,100,2019-02-14 19:13,1.2247372643422272,0.42896533613445376,0.001,adam,cross_entropy,30,2,1,9,676,1672,684,1301,0,0,0,0,469,867,280,1565
BenchMarkAugBn,10,100,2019-02-14 19:17,1.2353119930978549,0.4183298319327731,0.001,adam,cross_entropy,18,3,0,4,413,766,340,469,0,0,0,0,744,1772,625,2402
BenchMarkAugBn,11,100,2019-02-14 19:20,1.223766650183726,0.4384191176470588,0.001,adam,cross_entropy,51,29,8,17,637,1394,553,963,1,2,2,3,486,1116,402,1892
BenchMarkAugBn,12,100,2019-02-14 19:23,1.2143063302767478,0.4428834033613445,0.001,adam,cross_entropy,73,23,12,26,650,1587,626,1134,0,0,1,3,452,931,326,1712
BenchMarkAugBn,13,100,2019-02-14 19:26,1.1969442852472856,0.44997373949579833,0.001,adam,cross_entropy,87,34,9,29,662,1610,644,1116,2,3,2,2,424,894,310,1728
