model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
BenchMarkAug,1,100,2019-02-16 09:34,1.2767207052855365,0.4373629385964912,0.001,adam,cross_entropy,2,5,2,10,18,43,17,81,2,2,2,6,1089,2055,777,3144
BenchMarkAug,2,100,2019-02-16 09:37,1.2601029387617533,0.44421600877192985,0.001,adam,cross_entropy,0,0,0,0,0,0,0,0,0,0,0,0,1111,2105,798,3241
BenchMarkAug,3,100,2019-02-16 09:40,1.2490038576379288,0.4433936403508772,0.001,adam,cross_entropy,0,0,0,0,28,64,19,70,0,0,0,0,1083,2041,779,3171
BenchMarkAug,4,100,2019-02-16 09:43,1.2345849771415238,0.4433936403508772,0.001,adam,cross_entropy,0,0,0,0,229,467,176,473,0,0,0,0,882,1638,622,2768
BenchMarkAug,5,100,2019-02-16 09:46,1.226353468093197,0.43969298245614036,0.001,adam,cross_entropy,0,0,0,0,315,685,284,718,0,0,0,0,796,1420,514,2523
BenchMarkAug,6,100,2019-02-16 09:49,1.225761886191579,0.4432565789473684,0.001,adam,cross_entropy,0,0,0,0,480,944,371,951,0,0,0,0,631,1161,427,2290
BenchMarkAug,7,100,2019-02-16 09:53,1.2245068845495712,0.4428453947368421,0.001,adam,cross_entropy,0,0,0,0,412,833,325,843,0,0,0,0,699,1272,473,2398
BenchMarkAug,8,100,2019-02-16 09:56,1.2258230563813606,0.43928179824561403,0.001,adam,cross_entropy,0,0,0,0,401,795,313,831,0,0,0,0,710,1310,485,2410
BenchMarkAug,9,100,2019-02-16 09:59,1.2236619797428097,0.4370888157894737,0.001,adam,cross_entropy,0,0,0,0,403,868,327,920,0,0,0,0,708,1237,471,2321
BenchMarkAug,10,100,2019-02-16 10:03,1.214393413172359,0.44435307017543857,0.001,adam,cross_entropy,0,0,0,0,411,880,329,879,1,8,6,6,699,1217,463,2356
BenchMarkAug,11,100,2019-02-16 10:06,1.2042349756291482,0.4387335526315789,0.001,adam,cross_entropy,0,1,0,0,399,846,367,881,0,12,9,14,712,1246,422,2346
BenchMarkAug,12,100,2019-02-16 10:09,1.2033646845184596,0.4477796052631579,0.001,adam,cross_entropy,0,0,0,2,351,780,296,749,0,5,4,7,760,1320,498,2483
BenchMarkAug,13,100,2019-02-16 10:12,1.1995645708742395,0.44805372807017546,0.001,adam,cross_entropy,13,5,1,6,182,363,133,342,2,13,21,21,914,1724,643,2872
BenchMarkAug,14,100,2019-02-16 10:15,1.1983453531180863,0.46066337719298245,0.001,adam,cross_entropy,37,8,1,19,189,425,168,324,2,12,11,10,883,1660,618,2888
BenchMarkAug,15,100,2019-02-16 10:19,1.1830294448717507,0.4809484649122807,0.001,adam,cross_entropy,76,32,15,33,221,573,187,342,0,11,10,16,814,1489,586,2850
BenchMarkAug,16,100,2019-02-16 10:22,1.1782853118086283,0.4839638157894737,0.001,adam,cross_entropy,117,46,13,52,283,629,234,406,0,20,17,15,711,1410,534,2768
BenchMarkAug,17,100,2019-02-16 10:25,1.1664492176697316,0.4923245614035088,0.001,adam,cross_entropy,149,53,12,80,303,683,263,405,1,12,17,13,658,1357,506,2743
BenchMarkAug,18,100,2019-02-16 10:28,1.169687726856333,0.48601973684210525,0.001,adam,cross_entropy,168,68,24,82,301,643,268,420,2,20,13,17,640,1374,493,2722
BenchMarkAug,19,100,2019-02-16 10:32,1.1682496197455752,0.49246162280701755,0.001,adam,cross_entropy,165,57,18,79,287,694,265,417,0,10,5,16,659,1344,510,2729
BenchMarkAug,20,100,2019-02-16 10:35,1.1567532699719993,0.49383223684210525,0.001,adam,cross_entropy,177,89,36,83,305,653,270,384,6,17,21,22,623,1346,471,2752
BenchMarkAug,21,100,2019-02-16 10:38,1.1623431180430726,0.4909539473684211,0.001,adam,cross_entropy,197,93,22,77,282,638,246,424,6,16,29,22,626,1358,501,2718
BenchMarkAug,22,100,2019-02-16 10:41,1.1583319469890763,0.49191337719298245,0.001,adam,cross_entropy,188,76,35,108,294,655,241,388,3,13,21,20,626,1361,501,2725
BenchMarkAug,23,100,2019-02-16 10:45,1.1604882974540238,0.49492872807017546,0.001,adam,cross_entropy,237,78,29,104,273,651,238,406,2,5,8,16,599,1371,523,2715
BenchMarkAug,24,100,2019-02-16 10:48,1.1599428970201882,0.4961622807017544,0.001,adam,cross_entropy,229,97,26,99,273,654,244,402,3,13,16,19,606,1341,512,2721
BenchMarkAug,25,100,2019-02-16 10:51,1.1572249420976217,0.49438048245614036,0.001,adam,cross_entropy,241,93,34,114,293,649,253,424,4,24,35,21,573,1339,476,2682
BenchMarkAug,26,100,2019-02-16 10:54,1.1561047039200774,0.49492872807017546,0.001,adam,cross_entropy,247,92,27,97,278,613,252,395,1,13,19,17,585,1387,500,2732
BenchMarkAug,27,100,2019-02-16 10:58,1.1563488445450774,0.49506578947368424,0.001,adam,cross_entropy,256,102,36,121,269,621,277,382,5,10,17,20,581,1372,468,2718
BenchMarkAug,28,100,2019-02-16 11:01,1.1531259992481333,0.49725877192982454,0.001,adam,cross_entropy,277,106,40,117,252,589,261,368,2,14,22,16,580,1396,475,2740
BenchMarkAug,29,100,2019-02-16 11:04,1.16282410748237,0.49588815789473684,0.001,adam,cross_entropy,221,102,40,122,288,646,237,367,2,21,16,17,600,1336,505,2735
BenchMarkAug,30,100,2019-02-16 11:07,1.164922663595824,0.48862390350877194,0.001,adam,cross_entropy,193,104,36,106,264,618,252,379,4,18,20,22,650,1365,490,2734
BenchMarkAug,31,100,2019-02-16 11:11,1.1512024465915376,0.49520285087719296,0.001,adam,cross_entropy,235,80,28,87,288,605,240,378,3,12,15,18,585,1408,515,2758
BenchMarkAug,32,100,2019-02-16 11:14,1.1570069979777378,0.4980811403508772,0.001,adam,cross_entropy,254,90,40,125,283,659,247,395,3,14,19,19,571,1342,492,2702
BenchMarkAug,33,100,2019-02-16 11:17,1.155690421045354,0.49766995614035087,0.001,adam,cross_entropy,238,85,33,108,271,668,273,412,3,15,20,16,599,1337,472,2705
BenchMarkAug,34,100,2019-02-16 11:20,1.1517198950843472,0.4936951754385965,0.001,adam,cross_entropy,243,84,31,114,260,593,244,352,2,11,13,22,606,1417,510,2753
BenchMarkAug,35,100,2019-02-16 11:23,1.1490533879372926,0.5017817982456141,0.001,adam,cross_entropy,287,109,48,133,260,633,228,374,3,15,23,16,561,1348,499,2718
BenchMarkAug,36,100,2019-02-16 11:27,1.1515839163181,0.4921875,0.001,adam,cross_entropy,277,93,33,126,281,608,236,409,0,5,6,6,553,1399,523,2700
BenchMarkAug,37,100,2019-02-16 11:30,1.1478241776998064,0.4967105263157895,0.001,adam,cross_entropy,272,116,51,159,272,621,246,346,3,16,19,24,564,1352,482,2712
BenchMarkAug,38,100,2019-02-16 11:33,1.1530703654331445,0.49191337719298245,0.001,adam,cross_entropy,244,95,35,128,257,607,241,377,4,19,26,24,606,1384,496,2712
