model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet4,1,100,2019-02-16 09:38,0.9042320589048672,0.6572094298245614,0.001,adam,cross_entropy,620,49,54,167,72,1188,110,275,54,88,265,77,365,780,369,2722
MaunaNet4,2,100,2019-02-16 09:42,0.6678308807643114,0.8149671052631579,0.001,adam,cross_entropy,942,36,45,80,42,1650,90,187,35,32,431,51,92,387,232,2923
MaunaNet4,3,100,2019-02-16 09:45,0.5654139223351943,0.8911732456140351,0.001,adam,cross_entropy,1019,14,24,54,22,1893,65,149,8,19,596,44,62,179,113,2994
MaunaNet4,4,100,2019-02-16 09:49,0.48665159782477185,0.9373629385964912,0.001,adam,cross_entropy,1047,12,10,29,16,1996,28,97,2,10,706,25,46,87,54,3090
MaunaNet4,5,100,2019-02-16 09:53,0.4337364129260578,0.9614857456140351,0.001,adam,cross_entropy,1070,5,5,10,15,2041,13,67,0,5,757,17,26,54,23,3147
MaunaNet4,6,100,2019-02-16 09:56,0.407666062886736,0.9739583333333334,0.001,adam,cross_entropy,1085,3,3,11,10,2059,9,24,0,2,770,14,16,41,16,3192
MaunaNet4,7,100,2019-02-16 10:00,0.38571605851164964,0.9838267543859649,0.001,adam,cross_entropy,1094,3,1,5,5,2080,1,17,0,0,788,3,12,22,8,3216
MaunaNet4,8,100,2019-02-16 10:04,0.37982977808049295,0.9841008771929824,0.001,adam,cross_entropy,1096,2,4,4,9,2081,4,14,0,1,784,4,6,21,6,3219
MaunaNet4,9,100,2019-02-16 10:08,0.3660364741772677,0.9893092105263158,0.001,adam,cross_entropy,1105,3,0,6,2,2090,0,3,0,0,793,2,4,12,5,3230
MaunaNet4,10,100,2019-02-16 10:11,0.35745046835030075,0.9923245614035088,0.001,adam,cross_entropy,1107,1,0,0,2,2099,0,2,0,1,796,1,2,4,2,3238
MaunaNet4,11,100,2019-02-16 10:15,0.3542981780735792,0.9927357456140351,0.001,adam,cross_entropy,1108,0,1,0,2,2101,0,2,0,1,795,0,1,3,2,3239
MaunaNet4,12,100,2019-02-16 10:19,0.35228121597155004,0.9928728070175439,0.001,adam,cross_entropy,1109,2,0,2,2,2098,0,0,0,0,798,0,0,5,0,3239
MaunaNet4,13,100,2019-02-16 10:23,0.3470762472237106,0.9938322368421053,0.001,adam,cross_entropy,1110,0,0,0,0,2102,0,0,0,1,798,0,1,2,0,3241
MaunaNet4,14,100,2019-02-16 10:27,0.3468683293435426,0.9939692982456141,0.001,adam,cross_entropy,1111,1,0,0,0,2102,0,0,0,1,798,0,0,1,0,3241
MaunaNet4,15,100,2019-02-16 10:30,0.3603657072624274,0.9915021929824561,0.001,adam,cross_entropy,1109,4,0,2,0,2095,0,4,0,0,796,1,2,6,2,3234
MaunaNet4,16,100,2019-02-16 10:34,0.3752215225084693,0.985608552631579,0.001,adam,cross_entropy,1103,3,0,4,1,2080,1,15,0,0,787,1,7,22,10,3221
MaunaNet4,17,100,2019-02-16 10:38,0.3495018207921391,0.9936951754385965,0.001,adam,cross_entropy,1109,1,0,0,1,2103,0,0,0,0,797,0,1,1,1,3241
MaunaNet4,18,100,2019-02-16 10:42,0.34604486110991084,0.9941063596491229,0.001,adam,cross_entropy,1111,0,0,0,0,2103,0,0,0,1,798,0,0,1,0,3241
MaunaNet4,19,100,2019-02-16 10:45,0.34855196117299847,0.993421052631579,0.001,adam,cross_entropy,1111,0,0,0,0,2100,0,2,0,1,798,0,0,4,0,3239
MaunaNet4,20,100,2019-02-16 10:49,0.3449622297708967,0.9942434210526315,0.001,adam,cross_entropy,1111,0,0,0,0,2104,0,0,0,0,798,0,0,1,0,3241
MaunaNet4,21,100,2019-02-16 10:52,0.3446043571539685,0.9942434210526315,0.001,adam,cross_entropy,1111,0,0,0,0,2104,0,0,0,0,798,0,0,1,0,3241
MaunaNet4,22,100,2019-02-16 10:56,0.344263093661418,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,23,100,2019-02-16 11:00,0.34561785132484096,0.9942434210526315,0.001,adam,cross_entropy,1110,0,0,0,0,2105,0,0,0,0,798,0,1,0,0,3241
MaunaNet4,24,100,2019-02-16 11:03,0.37187775468404316,0.9860197368421053,0.001,adam,cross_entropy,1106,1,0,7,4,2085,4,18,0,0,788,1,1,19,6,3215
MaunaNet4,25,100,2019-02-16 11:07,0.36377422366522055,0.9897203947368421,0.001,adam,cross_entropy,1109,1,1,3,1,2091,2,8,0,0,793,2,1,13,2,3228
MaunaNet4,26,100,2019-02-16 11:11,0.3459758927336836,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,27,100,2019-02-16 11:15,0.3448863071677959,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,28,100,2019-02-16 11:19,0.3442946577494123,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,29,100,2019-02-16 11:23,0.34417623334226355,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,30,100,2019-02-16 11:27,0.3441320773774544,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,31,100,2019-02-16 11:31,0.34400710384402655,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,32,100,2019-02-16 11:35,0.3439210874844441,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,33,100,2019-02-16 11:38,0.34393104620739423,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,34,100,2019-02-16 11:42,0.3439011362801611,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,35,100,2019-02-16 11:46,0.3438529968261719,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,36,100,2019-02-16 11:50,0.34388307554531944,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,37,100,2019-02-16 11:53,0.3438798009821799,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,38,100,2019-02-16 11:57,0.3438433756870506,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,39,100,2019-02-16 12:01,0.34401810907684593,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,40,100,2019-02-16 12:05,0.34393428701215084,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,41,100,2019-02-16 12:08,0.4278667416192789,0.9591557017543859,0.001,adam,cross_entropy,1060,11,7,20,11,2029,10,55,5,1,759,16,35,64,22,3150
MaunaNet4,42,100,2019-02-16 12:12,0.3913710265033013,0.9768366228070176,0.001,adam,cross_entropy,1092,13,5,21,6,2063,1,14,1,1,776,10,12,28,16,3196
MaunaNet4,43,100,2019-02-16 12:16,0.3524024085660951,0.9931469298245614,0.001,adam,cross_entropy,1111,2,0,0,0,2099,0,1,0,1,797,1,0,3,1,3239
MaunaNet4,44,100,2019-02-16 12:19,0.34773662870964117,0.9938322368421053,0.001,adam,cross_entropy,1111,0,0,0,0,2103,0,2,0,0,798,0,0,2,0,3239
MaunaNet4,45,100,2019-02-16 12:23,0.3461244971351286,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,46,100,2019-02-16 12:27,0.3448451894574461,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,47,100,2019-02-16 12:31,0.34469813794161364,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,48,100,2019-02-16 12:34,0.3440603745722138,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,49,100,2019-02-16 12:38,0.3439576140547221,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,50,100,2019-02-16 12:42,0.3438916164161885,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,51,100,2019-02-16 12:45,0.3439711174078747,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,52,100,2019-02-16 12:49,0.3439233830544801,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,53,100,2019-02-16 12:53,0.3438945196371163,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,54,100,2019-02-16 12:57,0.34385603508063123,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,55,100,2019-02-16 13:01,0.34386015360334277,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,56,100,2019-02-16 13:05,0.34385812810036986,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,57,100,2019-02-16 13:09,0.3438600523281941,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,58,100,2019-02-16 13:12,0.3441571598559354,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,59,100,2019-02-16 13:16,0.3856239656431485,0.979577850877193,0.001,adam,cross_entropy,1102,4,1,7,2,2059,2,21,0,2,778,5,7,40,17,3208
MaunaNet4,60,100,2019-02-16 13:20,0.35670798647720203,0.9901315789473685,0.001,adam,cross_entropy,1104,2,0,1,1,2094,3,8,0,1,794,0,6,8,1,3232
MaunaNet4,61,100,2019-02-16 13:24,0.34532830567486517,0.9942434210526315,0.001,adam,cross_entropy,1111,0,0,0,0,2104,0,0,0,0,798,0,0,1,0,3241
MaunaNet4,62,100,2019-02-16 13:28,0.3446005762150857,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,63,100,2019-02-16 13:31,0.3439678428447352,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,64,100,2019-02-16 13:36,0.34431302230969996,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,65,100,2019-02-16 13:39,0.34455432723053786,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
MaunaNet4,66,100,2019-02-16 13:43,0.3443120095582135,0.9943804824561403,0.001,adam,cross_entropy,1111,0,0,0,0,2105,0,0,0,0,798,0,0,0,0,3241
