model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet4Aug,1,100,2019-02-16 09:35,1.0821741829931208,0.5446820175438597,0.001,adam,cross_entropy,281,56,84,111,220,1021,186,494,76,46,77,41,534,982,451,2595
MaunaNet4Aug,2,100,2019-02-16 09:38,0.984829927967713,0.6155427631578947,0.001,adam,cross_entropy,543,64,109,168,176,1227,174,374,89,78,111,89,303,736,404,2610
MaunaNet4Aug,3,100,2019-02-16 09:41,0.9301713251434596,0.6492598684210527,0.001,adam,cross_entropy,584,74,99,156,137,1351,167,335,86,51,118,66,304,629,414,2684
MaunaNet4Aug,4,100,2019-02-16 09:44,0.8995151350983476,0.6647478070175439,0.001,adam,cross_entropy,619,80,88,169,147,1388,177,313,70,56,163,79,275,581,370,2680
MaunaNet4Aug,5,100,2019-02-16 09:48,0.8710958430197386,0.6785910087719298,0.001,adam,cross_entropy,660,85,79,161,138,1412,185,310,48,61,186,77,265,547,348,2693
MaunaNet4Aug,6,100,2019-02-16 09:51,0.8528267514389173,0.6901041666666666,0.001,adam,cross_entropy,684,82,90,166,121,1450,155,315,60,57,230,89,246,516,323,2671
MaunaNet4Aug,7,100,2019-02-16 09:54,0.8353138476346447,0.7003837719298246,0.001,adam,cross_entropy,728,72,69,170,81,1428,141,281,54,63,254,90,248,542,334,2700
MaunaNet4Aug,8,100,2019-02-16 09:57,0.8129452730702088,0.7227247807017544,0.001,adam,cross_entropy,708,69,84,136,108,1545,154,288,53,62,292,89,242,429,268,2728
MaunaNet4Aug,9,100,2019-02-16 10:00,0.8114314121482646,0.7197094298245614,0.001,adam,cross_entropy,753,67,73,152,81,1548,143,294,46,61,278,123,231,429,304,2672
MaunaNet4Aug,10,100,2019-02-16 10:04,0.7930720506516178,0.7330043859649122,0.001,adam,cross_entropy,760,58,67,163,86,1588,148,272,50,60,304,110,215,399,279,2696
MaunaNet4Aug,11,100,2019-02-16 10:07,0.7883421636260717,0.7357456140350878,0.001,adam,cross_entropy,770,68,85,155,77,1603,139,278,57,50,279,92,207,384,295,2716
MaunaNet4Aug,12,100,2019-02-16 10:10,0.7703051946859444,0.75,0.001,adam,cross_entropy,768,70,75,133,104,1645,145,275,41,47,338,112,198,343,240,2721
MaunaNet4Aug,13,100,2019-02-16 10:13,0.7784317151635094,0.7427357456140351,0.001,adam,cross_entropy,770,69,79,126,95,1631,147,288,42,55,302,111,204,350,270,2716
MaunaNet4Aug,14,100,2019-02-16 10:17,0.7481143242489975,0.764391447368421,0.001,adam,cross_entropy,812,64,71,136,53,1658,141,238,55,56,337,97,191,327,249,2770
MaunaNet4Aug,15,100,2019-02-16 10:20,0.7477483158617948,0.7663103070175439,0.001,adam,cross_entropy,817,57,76,128,74,1689,144,262,46,54,345,111,174,305,233,2740
MaunaNet4Aug,16,100,2019-02-16 10:23,0.7408801728645257,0.770422149122807,0.001,adam,cross_entropy,820,74,59,134,67,1684,154,236,34,43,335,89,190,304,250,2782
MaunaNet4Aug,17,100,2019-02-16 10:26,0.7402794761995298,0.7654879385964912,0.001,adam,cross_entropy,823,52,81,138,60,1686,152,247,48,55,312,92,180,312,253,2764
MaunaNet4Aug,18,100,2019-02-16 10:30,0.7385661032347552,0.7650767543859649,0.001,adam,cross_entropy,822,66,83,130,68,1694,144,237,42,41,302,110,179,304,269,2764
MaunaNet4Aug,19,100,2019-02-16 10:33,0.7105689259756983,0.7867324561403509,0.001,adam,cross_entropy,850,50,66,145,72,1737,150,223,40,46,370,90,149,272,212,2783
MaunaNet4Aug,20,100,2019-02-16 10:36,0.7305815705155905,0.7733004385964912,0.001,adam,cross_entropy,826,64,60,121,63,1694,151,244,41,50,353,107,181,297,234,2769
MaunaNet4Aug,21,100,2019-02-16 10:39,0.7171470169472484,0.7874177631578947,0.001,adam,cross_entropy,856,57,68,118,66,1727,136,234,44,54,380,107,145,267,214,2782
MaunaNet4Aug,22,100,2019-02-16 10:43,0.713542634406976,0.7835800438596491,0.001,adam,cross_entropy,865,63,73,135,74,1719,146,246,37,38,361,88,135,285,218,2772
MaunaNet4Aug,23,100,2019-02-16 10:46,0.709144659801922,0.7887883771929824,0.001,adam,cross_entropy,868,52,63,106,68,1730,153,238,35,40,359,99,140,283,223,2798
MaunaNet4Aug,24,100,2019-02-16 10:49,0.6998363258564366,0.795641447368421,0.001,adam,cross_entropy,872,51,56,114,47,1716,124,231,39,67,398,77,153,271,220,2819
MaunaNet4Aug,25,100,2019-02-16 10:52,0.6984913918824323,0.798108552631579,0.001,adam,cross_entropy,891,58,58,106,54,1744,149,244,41,40,375,78,125,263,216,2813
MaunaNet4Aug,26,100,2019-02-16 10:56,0.6877323251909915,0.8018092105263158,0.001,adam,cross_entropy,901,54,57,116,61,1750,147,219,35,34,381,88,114,267,213,2818
MaunaNet4Aug,27,100,2019-02-16 10:59,0.6892139806156665,0.8015350877192983,0.001,adam,cross_entropy,881,45,53,101,62,1747,145,228,36,50,394,86,132,263,206,2826
MaunaNet4Aug,28,100,2019-02-16 11:02,0.6879715370920907,0.8033168859649122,0.001,adam,cross_entropy,891,54,56,103,70,1768,161,221,36,41,379,94,114,242,202,2823
MaunaNet4Aug,29,100,2019-02-16 11:05,0.6711004476631637,0.8085252192982456,0.001,adam,cross_entropy,898,44,51,111,61,1765,130,212,40,33,420,102,112,263,197,2816
MaunaNet4Aug,30,100,2019-02-16 11:09,0.6686300092038855,0.813733552631579,0.001,adam,cross_entropy,910,47,57,113,50,1780,138,186,39,48,397,92,112,230,206,2850
MaunaNet4Aug,31,100,2019-02-16 11:12,0.6608590995315957,0.8189418859649122,0.001,adam,cross_entropy,907,48,60,108,53,1792,138,195,40,49,430,92,111,216,170,2846
MaunaNet4Aug,32,100,2019-02-16 11:15,0.6620117457567063,0.8179824561403509,0.001,adam,cross_entropy,914,35,54,100,51,1788,133,203,35,49,407,79,111,233,204,2859
MaunaNet4Aug,33,100,2019-02-16 11:18,0.6780964674147885,0.809484649122807,0.001,adam,cross_entropy,904,41,71,107,58,1773,146,207,34,51,385,83,115,240,196,2844
MaunaNet4Aug,34,100,2019-02-16 11:22,0.6595714197749585,0.8197642543859649,0.001,adam,cross_entropy,931,46,39,97,56,1773,140,216,25,37,430,81,99,249,189,2847
MaunaNet4Aug,35,100,2019-02-16 11:25,0.6605390700618777,0.8160635964912281,0.001,adam,cross_entropy,930,41,44,106,56,1760,142,215,34,41,437,93,91,263,175,2827
MaunaNet4Aug,36,100,2019-02-16 11:28,0.6489664938597552,0.8279879385964912,0.001,adam,cross_entropy,933,39,49,106,44,1817,133,197,30,42,426,73,104,207,190,2865
MaunaNet4Aug,37,100,2019-02-16 11:31,0.6435197813321004,0.8299067982456141,0.001,adam,cross_entropy,937,45,41,73,61,1797,133,194,37,45,434,87,76,218,190,2887
MaunaNet4Aug,38,100,2019-02-16 11:34,0.6554356802881292,0.8179824561403509,0.001,adam,cross_entropy,910,45,60,94,51,1780,127,213,25,36,441,97,125,244,170,2837
MaunaNet4Aug,39,100,2019-02-16 11:38,0.6395329163137791,0.8300438596491229,0.001,adam,cross_entropy,955,41,48,87,51,1803,148,186,33,38,431,101,72,223,171,2867
MaunaNet4Aug,40,100,2019-02-16 11:41,0.6421940896363385,0.8286732456140351,0.001,adam,cross_entropy,944,35,40,99,43,1787,121,188,36,55,453,92,88,228,184,2862
MaunaNet4Aug,41,100,2019-02-16 11:44,0.6381068947040929,0.8340186403508771,0.001,adam,cross_entropy,952,51,36,74,51,1776,119,173,29,49,449,86,79,229,194,2908
MaunaNet4Aug,42,100,2019-02-16 11:47,0.6281412175271364,0.8397752192982456,0.001,adam,cross_entropy,961,33,37,77,47,1836,133,179,32,38,434,89,71,198,194,2896
MaunaNet4Aug,43,100,2019-02-16 11:50,0.6397517381516178,0.8330592105263158,0.001,adam,cross_entropy,939,41,37,77,40,1814,142,174,41,45,428,93,91,205,191,2897
MaunaNet4Aug,44,100,2019-02-16 11:54,0.6249515229621819,0.8400493421052632,0.001,adam,cross_entropy,968,36,39,74,52,1806,129,180,29,45,447,79,62,218,183,2908
MaunaNet4Aug,45,100,2019-02-16 11:57,0.6291940739724489,0.8360745614035088,0.001,adam,cross_entropy,964,31,49,88,39,1824,123,179,34,47,434,96,74,203,192,2878
MaunaNet4Aug,46,100,2019-02-16 12:00,0.6137847225222968,0.8463541666666666,0.001,adam,cross_entropy,968,42,41,68,49,1826,129,172,27,50,459,79,67,187,169,2922
MaunaNet4Aug,47,100,2019-02-16 12:03,0.6191149686290099,0.8444353070175439,0.001,adam,cross_entropy,973,38,42,74,44,1826,126,163,29,38,458,100,65,203,172,2904
MaunaNet4Aug,48,100,2019-02-16 12:07,0.626542420513862,0.8360745614035088,0.001,adam,cross_entropy,958,31,44,95,36,1819,135,181,35,43,438,80,82,212,181,2885
MaunaNet4Aug,49,100,2019-02-16 12:10,0.6249395724946418,0.8375822368421053,0.001,adam,cross_entropy,962,40,38,89,42,1811,130,185,24,48,459,88,83,206,171,2879
MaunaNet4Aug,50,100,2019-02-16 12:13,0.6101617053546736,0.8497807017543859,0.001,adam,cross_entropy,985,38,34,67,35,1827,139,157,31,57,462,91,60,183,163,2926
MaunaNet4Aug,51,100,2019-02-16 12:16,0.6134805594925332,0.8463541666666666,0.001,adam,cross_entropy,970,30,45,89,38,1830,129,158,25,55,464,83,78,190,160,2911
MaunaNet4Aug,52,100,2019-02-16 12:20,0.6030793316596377,0.8525219298245614,0.001,adam,cross_entropy,965,23,40,60,51,1852,139,170,34,36,467,75,61,194,152,2936
MaunaNet4Aug,53,100,2019-02-16 12:23,0.6098665895715224,0.8473135964912281,0.001,adam,cross_entropy,985,34,43,70,32,1827,135,174,23,43,465,92,71,201,155,2905
MaunaNet4Aug,54,100,2019-02-16 12:26,0.5978858070035952,0.8560855263157895,0.001,adam,cross_entropy,996,25,26,75,35,1851,132,155,24,49,491,103,56,180,149,2908
MaunaNet4Aug,55,100,2019-02-16 12:29,0.6014647357231748,0.8558114035087719,0.001,adam,cross_entropy,984,39,28,72,33,1843,143,147,27,52,465,70,67,171,162,2952
MaunaNet4Aug,56,100,2019-02-16 12:33,0.599245999766662,0.8575932017543859,0.001,adam,cross_entropy,979,34,22,74,33,1853,139,142,27,41,479,79,72,177,158,2946
MaunaNet4Aug,57,100,2019-02-16 12:36,0.5900531194906319,0.8601973684210527,0.001,adam,cross_entropy,987,28,31,50,33,1864,139,152,32,49,478,92,59,164,150,2947
MaunaNet4Aug,58,100,2019-02-16 12:39,0.5985054758797704,0.8532072368421053,0.001,adam,cross_entropy,983,31,22,64,35,1828,126,153,33,62,483,93,60,184,167,2931
MaunaNet4Aug,59,100,2019-02-16 12:42,0.5997610851726701,0.8541666666666666,0.001,adam,cross_entropy,1000,27,31,69,34,1831,134,164,18,35,485,92,59,212,148,2916
MaunaNet4Aug,60,100,2019-02-16 12:46,0.5973185311376521,0.8555372807017544,0.001,adam,cross_entropy,983,25,40,55,36,1859,131,168,16,45,475,93,76,176,152,2925
MaunaNet4Aug,61,100,2019-02-16 12:49,0.5890516433040652,0.859375,0.001,adam,cross_entropy,1004,40,35,59,35,1846,124,146,18,33,465,81,54,186,174,2955
MaunaNet4Aug,62,100,2019-02-16 12:52,0.5847979520274474,0.8618421052631579,0.001,adam,cross_entropy,1017,29,32,60,32,1846,121,146,18,44,482,92,44,186,163,2943
MaunaNet4Aug,63,100,2019-02-16 12:55,0.5925757484098452,0.8585526315789473,0.001,adam,cross_entropy,979,32,36,63,27,1848,130,148,26,46,477,70,79,179,155,2960
