model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet4Drop,1,100,2019-02-16 09:36,1.135749884411297,0.4947916666666667,0.001,adam,cross_entropy,287,64,59,146,251,844,244,617,24,29,38,37,549,1168,457,2441
MaunaNet4Drop,2,100,2019-02-16 09:40,1.022485176018909,0.5808662280701754,0.001,adam,cross_entropy,558,96,82,181,145,1000,161,428,52,85,130,82,356,924,425,2550
MaunaNet4Drop,3,100,2019-02-16 09:44,0.9262485335358476,0.640625,0.001,adam,cross_entropy,676,84,86,174,103,1187,106,382,38,60,192,66,294,774,414,2619
MaunaNet4Drop,4,100,2019-02-16 09:48,0.8583297729492188,0.6814692982456141,0.001,adam,cross_entropy,781,72,86,152,68,1275,114,351,50,53,259,81,212,705,339,2657
MaunaNet4Drop,5,100,2019-02-16 09:52,0.8071133098771087,0.7134046052631579,0.001,adam,cross_entropy,827,85,85,130,68,1337,99,310,31,53,310,70,185,630,304,2731
MaunaNet4Drop,6,100,2019-02-16 09:56,0.7789386985576259,0.7335526315789473,0.001,adam,cross_entropy,855,74,64,115,63,1388,111,282,34,45,339,74,159,598,284,2770
MaunaNet4Drop,7,100,2019-02-16 10:00,0.7411206675841745,0.765625,0.001,adam,cross_entropy,903,63,53,115,49,1490,106,257,27,47,396,72,132,505,243,2797
MaunaNet4Drop,8,100,2019-02-16 10:04,0.7217214128612417,0.7775493421052632,0.001,adam,cross_entropy,901,61,52,106,47,1549,98,257,29,42,417,72,134,453,231,2806
MaunaNet4Drop,9,100,2019-02-16 10:08,0.6859596725058766,0.8004385964912281,0.001,adam,cross_entropy,919,60,57,93,52,1614,89,220,22,48,450,71,118,383,202,2857
MaunaNet4Drop,10,100,2019-02-16 10:12,0.6644715840837597,0.8134594298245614,0.001,adam,cross_entropy,936,47,39,94,31,1653,83,236,19,33,482,47,125,372,194,2864
MaunaNet4Drop,11,100,2019-02-16 10:16,0.6396295328055863,0.8325109649122807,0.001,adam,cross_entropy,936,41,35,94,38,1741,88,220,18,38,529,59,119,285,146,2868
MaunaNet4Drop,12,100,2019-02-16 10:20,0.6131879418297151,0.854577850877193,0.001,adam,cross_entropy,958,46,27,71,38,1786,82,187,17,39,558,50,98,234,131,2933
MaunaNet4Drop,13,100,2019-02-16 10:24,0.5855754751019773,0.8736293859649122,0.001,adam,cross_entropy,989,46,31,74,28,1814,68,142,14,34,596,50,80,211,103,2975
MaunaNet4Drop,14,100,2019-02-16 10:28,0.578687144591745,0.8741776315789473,0.001,adam,cross_entropy,987,57,18,76,32,1811,56,156,10,25,625,54,82,212,99,2955
MaunaNet4Drop,15,100,2019-02-16 10:32,0.5541306554743674,0.8892543859649122,0.001,adam,cross_entropy,997,33,24,65,35,1852,56,141,11,21,636,32,68,199,82,3003
MaunaNet4Drop,16,100,2019-02-16 10:36,0.5455179130081582,0.8939144736842105,0.001,adam,cross_entropy,996,38,16,60,32,1873,42,131,5,28,650,47,78,166,90,3003
MaunaNet4Drop,17,100,2019-02-16 10:40,0.5291955323345894,0.9025493421052632,0.001,adam,cross_entropy,1010,49,15,57,33,1881,42,118,8,26,668,40,60,149,73,3026
MaunaNet4Drop,18,100,2019-02-16 10:44,0.5117416381835938,0.9120065789473685,0.001,adam,cross_entropy,1019,22,16,64,23,1917,31,109,7,18,693,43,62,148,58,3025
MaunaNet4Drop,19,100,2019-02-16 10:48,0.5022175881714948,0.9200932017543859,0.001,adam,cross_entropy,1031,29,17,52,21,1937,30,104,6,15,693,33,53,124,58,3052
MaunaNet4Drop,20,100,2019-02-16 10:52,0.4976006904534534,0.9191337719298246,0.001,adam,cross_entropy,1017,41,18,46,29,1927,35,94,5,12,692,31,60,125,53,3070
MaunaNet4Drop,21,100,2019-02-16 10:56,0.4861720262375553,0.9295504385964912,0.001,adam,cross_entropy,1034,23,9,43,23,1956,29,102,4,17,724,28,50,109,36,3068
MaunaNet4Drop,22,100,2019-02-16 11:00,0.4792311339251763,0.9322916666666666,0.001,adam,cross_entropy,1039,32,7,39,26,1956,24,88,2,11,719,26,44,106,48,3088
MaunaNet4Drop,23,100,2019-02-16 11:04,0.47228919510292794,0.9343475877192983,0.001,adam,cross_entropy,1033,18,9,46,29,1953,21,68,3,18,719,15,46,116,49,3112
MaunaNet4Drop,24,100,2019-02-16 11:08,0.47038846311316024,0.9353070175438597,0.001,adam,cross_entropy,1028,22,7,34,22,1968,19,80,5,9,720,19,56,106,52,3108
MaunaNet4Drop,25,100,2019-02-16 11:12,0.4687325469160502,0.936266447368421,0.001,adam,cross_entropy,1031,25,8,33,26,1972,25,68,3,15,707,19,51,93,58,3121
