model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet4AugDrop,1,100,2019-02-19 10:58,1.2557965844078403,0.48026315789473684,0.001,adam,cross_entropy,88,24,13,34,355,949,373,716,14,12,2,26,654,1120,410,2465
MaunaNet4AugDrop,2,100,2019-02-19 11:01,1.2416684311048118,0.4923245614035088,0.001,adam,cross_entropy,150,50,13,88,339,963,346,674,0,0,0,0,622,1092,439,2479
MaunaNet4AugDrop,3,100,2019-02-19 11:03,1.2324552282822872,0.5004111842105263,0.001,adam,cross_entropy,174,43,20,96,346,1011,352,679,0,0,0,0,591,1051,426,2466
MaunaNet4AugDrop,4,100,2019-02-19 11:05,1.2346800407477185,0.4994517543859649,0.001,adam,cross_entropy,192,47,18,92,321,946,309,643,0,0,0,0,598,1112,471,2506
MaunaNet4AugDrop,5,100,2019-02-19 11:07,1.2400931299260232,0.4935581140350877,0.001,adam,cross_entropy,152,51,10,91,214,724,200,425,0,0,0,0,745,1330,588,2725
MaunaNet4AugDrop,6,100,2019-02-19 11:10,1.2274611481523092,0.5068530701754386,0.001,adam,cross_entropy,203,59,28,104,244,809,234,451,0,0,0,0,664,1237,536,2686
MaunaNet4AugDrop,7,100,2019-02-19 11:12,1.2206582938675332,0.5117872807017544,0.001,adam,cross_entropy,250,58,36,149,231,845,221,453,0,0,0,0,630,1202,541,2639
MaunaNet4AugDrop,8,100,2019-02-19 11:14,1.2129153361362695,0.5249451754385965,0.001,adam,cross_entropy,273,49,24,128,244,911,227,467,0,0,0,0,594,1145,547,2646
MaunaNet4AugDrop,9,100,2019-02-19 11:17,1.2069613026306691,0.5307017543859649,0.001,adam,cross_entropy,240,61,32,111,221,924,237,422,0,0,0,0,650,1120,529,2708
MaunaNet4AugDrop,10,100,2019-02-19 11:19,1.1987758400165929,0.5367324561403509,0.001,adam,cross_entropy,275,47,33,135,219,921,220,386,0,0,0,0,617,1137,545,2720
MaunaNet4AugDrop,11,100,2019-02-19 11:21,1.1982050532788302,0.5374177631578947,0.001,adam,cross_entropy,276,52,29,149,199,947,209,394,0,0,0,0,636,1106,560,2698
MaunaNet4AugDrop,12,100,2019-02-19 11:23,1.1846811750293833,0.5530427631578947,0.001,adam,cross_entropy,309,53,45,136,213,1043,246,422,0,0,0,0,589,1009,507,2683
MaunaNet4AugDrop,13,100,2019-02-19 11:26,1.1975691803788717,0.5413925438596491,0.001,adam,cross_entropy,302,59,46,154,199,1026,244,465,0,0,0,0,610,1020,508,2622
MaunaNet4AugDrop,14,100,2019-02-19 11:28,1.1909648253854397,0.5474232456140351,0.001,adam,cross_entropy,290,56,60,123,196,1035,242,449,0,0,0,0,625,1014,496,2669
MaunaNet4AugDrop,15,100,2019-02-19 11:30,1.1836894887738523,0.5519462719298246,0.001,adam,cross_entropy,349,81,76,174,195,1022,214,411,0,0,0,0,567,1002,508,2656
MaunaNet4AugDrop,16,100,2019-02-19 11:33,1.1751985803114628,0.5657894736842105,0.001,adam,cross_entropy,389,68,70,155,172,1043,228,390,0,0,0,0,550,994,500,2696
MaunaNet4AugDrop,17,100,2019-02-19 11:35,1.1725354490026962,0.5657894736842105,0.001,adam,cross_entropy,363,67,58,134,201,1082,241,424,0,0,0,0,547,956,499,2683
MaunaNet4AugDrop,18,100,2019-02-19 11:37,1.1674315866115874,0.5736019736842105,0.001,adam,cross_entropy,389,81,73,134,206,1156,253,467,0,0,0,0,516,868,472,2640
MaunaNet4AugDrop,19,100,2019-02-19 11:39,1.1671902816907493,0.5714089912280702,0.001,adam,cross_entropy,346,73,54,134,206,1140,251,424,0,0,0,0,559,892,493,2683
MaunaNet4AugDrop,20,100,2019-02-19 11:42,1.1608061663872373,0.5782620614035088,0.001,adam,cross_entropy,389,50,76,129,186,1147,231,429,0,0,0,0,536,908,491,2683
MaunaNet4AugDrop,21,100,2019-02-19 11:44,1.1562364966468472,0.5812774122807017,0.001,adam,cross_entropy,415,80,71,136,186,1189,237,468,0,0,0,0,510,836,490,2637
MaunaNet4AugDrop,22,100,2019-02-19 11:46,1.155235223010578,0.5833333333333334,0.001,adam,cross_entropy,432,74,77,169,188,1199,241,447,0,0,0,0,491,832,480,2625
MaunaNet4AugDrop,23,100,2019-02-19 11:48,1.1526147622977738,0.5901864035087719,0.001,adam,cross_entropy,420,75,64,159,183,1220,232,416,0,0,0,0,508,810,502,2666
MaunaNet4AugDrop,24,100,2019-02-19 11:51,1.1585945872078955,0.5805921052631579,0.001,adam,cross_entropy,415,76,82,147,170,1165,223,438,0,0,0,0,526,864,493,2656
MaunaNet4AugDrop,25,100,2019-02-19 11:53,1.155054143044801,0.5844298245614035,0.001,adam,cross_entropy,442,82,85,154,169,1204,221,469,0,0,0,0,500,819,492,2618
MaunaNet4AugDrop,26,100,2019-02-19 11:55,1.1555089359789823,0.5830592105263158,0.001,adam,cross_entropy,412,98,80,152,165,1168,203,415,0,0,0,0,534,839,515,2674
MaunaNet4AugDrop,27,100,2019-02-19 11:58,1.1433397141178097,0.6019736842105263,0.001,adam,cross_entropy,476,72,72,151,142,1216,224,390,0,0,0,0,493,817,502,2700
MaunaNet4AugDrop,28,100,2019-02-19 12:00,1.144023253854397,0.5948464912280702,0.001,adam,cross_entropy,439,64,82,149,174,1230,230,421,0,0,0,0,498,811,486,2671
MaunaNet4AugDrop,29,100,2019-02-19 12:02,1.1431597144202847,0.5966282894736842,0.001,adam,cross_entropy,449,69,71,120,192,1239,239,456,0,0,0,0,470,797,488,2665
