model,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
CodingNetwork,75,1,100,2019-04-01 11:02,1.1226154195851292,0.5152209051724138,0.005,sgd,cross_entropy,360,181,78,120,370,1542,599,520,81,149,175,128,218,756,354,1748
CodingNetwork,75,2,100,2019-04-01 11:05,0.8997427841712689,0.6365840517241379,0.005,sgd,cross_entropy,595,130,84,88,291,1854,481,448,58,109,390,93,85,535,251,1887
CodingNetwork,75,3,100,2019-04-01 11:07,0.7774310276426118,0.7007004310344828,0.005,sgd,cross_entropy,665,125,75,76,222,1937,334,372,62,167,647,115,80,399,150,1953
CodingNetwork,75,4,100,2019-04-01 11:10,0.6707470992515827,0.7541756465517241,0.005,sgd,cross_entropy,751,112,56,61,166,1998,257,278,51,174,780,107,61,344,113,2070
CodingNetwork,75,5,100,2019-04-01 11:12,0.6001972987734038,0.7804418103448276,0.005,sgd,cross_entropy,785,107,56,67,133,2103,228,240,44,161,813,116,67,257,109,2093
CodingNetwork,75,6,100,2019-04-01 11:15,0.5192932260447535,0.8147898706896551,0.005,sgd,cross_entropy,824,72,50,46,107,2207,208,225,39,130,864,91,59,219,84,2154
CodingNetwork,75,7,100,2019-04-01 11:17,0.46050160506675986,0.8403825431034483,0.005,sgd,cross_entropy,854,65,43,44,92,2245,160,181,25,127,922,73,58,191,81,2218
CodingNetwork,75,8,100,2019-04-01 11:20,0.41818470790468415,0.857489224137931,0.005,sgd,cross_entropy,880,59,43,38,69,2293,136,173,26,103,952,64,54,173,75,2241
CodingNetwork,75,9,100,2019-04-01 11:23,0.3746132028513941,0.8721713362068966,0.005,sgd,cross_entropy,892,58,28,42,71,2325,127,142,21,111,986,60,45,134,65,2272
CodingNetwork,75,10,100,2019-04-01 11:25,0.3036571042291049,0.90625,0.0025,sgd,cross_entropy,940,38,17,24,39,2404,99,116,17,82,1053,45,33,104,37,2331
CodingNetwork,75,11,100,2019-04-01 11:28,0.2757332571621599,0.9170258620689655,0.0025,sgd,cross_entropy,940,31,13,23,42,2453,92,97,15,59,1054,35,32,85,47,2361
CodingNetwork,75,12,100,2019-04-01 11:30,0.2548503382452603,0.9264547413793104,0.0025,sgd,cross_entropy,958,32,16,22,34,2469,74,88,13,57,1076,31,24,70,40,2375
CodingNetwork,75,13,100,2019-04-01 11:33,0.24268632099546236,0.9288793103448276,0.0025,sgd,cross_entropy,958,22,12,26,34,2482,72,76,16,49,1076,34,21,75,46,2380
CodingNetwork,75,14,100,2019-04-01 11:35,0.22251252470345334,0.9377693965517241,0.0025,sgd,cross_entropy,965,22,13,22,30,2504,66,70,12,47,1094,25,22,55,33,2399
CodingNetwork,75,15,100,2019-04-01 11:38,0.20660040296357254,0.9430226293103449,0.0025,sgd,cross_entropy,968,21,12,19,23,2521,61,63,15,35,1099,21,23,51,34,2413
CodingNetwork,75,16,100,2019-04-01 11:40,0.19519740137560615,0.9463900862068966,0.0025,sgd,cross_entropy,976,19,13,21,23,2528,62,59,7,33,1103,17,23,48,28,2419
CodingNetwork,75,17,100,2019-04-01 11:42,0.18229124463837723,0.9523168103448276,0.0025,sgd,cross_entropy,977,16,11,23,22,2549,46,56,9,28,1123,16,21,35,26,2421
CodingNetwork,75,18,100,2019-04-01 11:45,0.172542588464145,0.9552801724137931,0.0025,sgd,cross_entropy,977,11,6,22,23,2540,47,39,11,32,1137,17,18,45,16,2438
CodingNetwork,75,19,100,2019-04-01 11:47,0.16149938517603382,0.9574353448275862,0.0025,sgd,cross_entropy,989,13,8,19,17,2546,45,42,6,26,1131,13,17,43,22,2442
CodingNetwork,75,20,100,2019-04-01 11:50,0.14420515915443158,0.9643049568965517,0.00125,sgd,cross_entropy,997,16,6,20,9,2568,45,34,8,17,1141,9,15,27,14,2453
CodingNetwork,75,21,100,2019-04-01 11:52,0.12882609202943998,0.970770474137931,0.00125,sgd,cross_entropy,998,9,7,15,12,2583,26,29,5,13,1163,9,14,23,10,2463
CodingNetwork,75,22,100,2019-04-01 11:55,0.12868193100238667,0.9703663793103449,0.00125,sgd,cross_entropy,997,13,8,11,12,2585,30,32,9,13,1156,7,11,17,12,2466
CodingNetwork,75,23,100,2019-04-01 11:57,0.1216500709796774,0.9722521551724138,0.00125,sgd,cross_entropy,993,7,6,15,17,2598,31,22,10,8,1155,7,9,15,14,2472
CodingNetwork,75,24,100,2019-04-01 11:59,0.11990679543593834,0.9709051724137931,0.00125,sgd,cross_entropy,1000,11,4,16,15,2586,31,25,6,15,1155,8,8,16,16,2467
CodingNetwork,75,25,100,2019-04-01 12:02,0.1116097302272402,0.9758890086206896,0.00125,sgd,cross_entropy,1001,9,3,12,12,2595,18,22,6,10,1175,8,10,14,10,2474
