model,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
CodingNetwork,75,1,100,2019-04-01 11:20,1.2260218653185615,0.44383081896551724,0.005,sgd,cross_entropy,119,93,42,55,591,1711,737,994,43,79,57,59,276,745,370,1408
CodingNetwork,75,2,100,2019-04-01 11:23,1.1598062186405576,0.48356681034482757,0.005,sgd,cross_entropy,215,91,48,65,508,1652,671,800,76,94,123,51,230,791,364,1600
CodingNetwork,75,3,100,2019-04-01 11:25,1.124425953832166,0.49851831896551724,0.005,sgd,cross_entropy,262,129,65,66,474,1595,592,716,82,128,188,78,211,776,361,1656
CodingNetwork,75,4,100,2019-04-01 11:28,1.0958784695329338,0.5153556034482759,0.005,sgd,cross_entropy,259,113,51,68,429,1563,512,627,128,186,313,130,213,766,330,1691
CodingNetwork,75,5,100,2019-04-01 11:30,1.0605118192475418,0.5386584051724138,0.005,sgd,cross_entropy,265,84,73,66,418,1624,481,561,134,163,346,125,212,757,306,1764
CodingNetwork,75,6,100,2019-04-01 11:33,1.0409382129537648,0.5390625,0.005,sgd,cross_entropy,280,124,66,61,389,1555,405,559,153,186,426,155,207,763,309,1741
CodingNetwork,75,7,100,2019-04-01 11:35,1.0039384776148303,0.5646551724137931,0.005,sgd,cross_entropy,316,92,73,69,361,1642,401,539,151,190,492,166,201,704,240,1742
CodingNetwork,75,8,100,2019-04-01 11:38,0.9931393327384159,0.5669450431034483,0.005,sgd,cross_entropy,317,134,97,62,352,1582,319,499,138,211,538,183,222,701,252,1772
CodingNetwork,75,9,100,2019-04-01 11:40,0.9684939548887056,0.5847252155172413,0.005,sgd,cross_entropy,331,137,94,65,318,1630,318,435,169,208,528,164,211,653,266,1852
CodingNetwork,75,10,100,2019-04-01 11:43,0.9367085160880253,0.5979256465517241,0.0025,sgd,cross_entropy,367,127,106,67,332,1681,297,464,127,192,562,156,203,628,241,1829
CodingNetwork,75,11,100,2019-04-01 11:45,0.9094093585836476,0.6130118534482759,0.0025,sgd,cross_entropy,382,113,87,75,309,1734,299,419,155,191,584,171,183,590,236,1851
CodingNetwork,75,12,100,2019-04-01 11:47,0.8908086974045326,0.622979525862069,0.0025,sgd,cross_entropy,405,127,93,79,276,1758,284,404,149,188,591,162,199,555,238,1871
CodingNetwork,75,13,100,2019-04-01 11:50,0.8873950695169384,0.6248653017241379,0.0025,sgd,cross_entropy,438,144,114,88,273,1731,302,372,133,183,582,168,185,570,208,1888
CodingNetwork,75,14,100,2019-04-01 11:52,0.8830553252121498,0.6255387931034483,0.0025,sgd,cross_entropy,457,116,101,75,252,1745,282,412,159,222,617,204,161,545,206,1825
CodingNetwork,75,15,100,2019-04-01 11:55,0.8669371111639614,0.6375269396551724,0.0025,sgd,cross_entropy,485,155,107,86,250,1788,302,398,141,167,585,157,153,518,212,1875
