model,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet2,50,1,100,2019-03-31 22:51,1.153060794800751,0.47589631782945735,0.005,sgd,cross_entropy,125,26,8,20,557,1328,499,670,11,15,9,22,579,1323,545,2467
MaunaNet2,50,2,100,2019-03-31 22:52,1.0986943207969961,0.5031492248062015,0.005,sgd,cross_entropy,276,92,36,93,501,1499,519,689,64,39,41,59,431,1062,465,2338
MaunaNet2,50,3,100,2019-03-31 22:54,1.0676651592402495,0.5231346899224806,0.005,sgd,cross_entropy,379,146,82,129,403,1573,448,705,103,44,90,68,387,929,441,2277
MaunaNet2,50,4,100,2019-03-31 22:57,1.0558343931686047,0.529312015503876,0.005,sgd,cross_entropy,418,165,95,149,386,1568,454,664,98,55,90,72,370,904,422,2294
MaunaNet2,50,5,100,2019-03-31 22:59,1.036715721899225,0.5422722868217055,0.005,sgd,cross_entropy,464,172,113,186,328,1587,407,623,103,66,129,73,377,867,412,2297
MaunaNet2,50,6,100,2019-03-31 23:02,1.022125007570252,0.5485707364341085,0.005,sgd,cross_entropy,472,183,129,169,340,1591,380,613,98,62,131,62,362,856,421,2335
MaunaNet2,50,7,100,2019-03-31 23:04,1.0006470199703246,0.5542635658914729,0.005,sgd,cross_entropy,488,194,123,192,309,1602,373,594,123,76,174,81,352,820,391,2312
MaunaNet2,50,8,100,2019-03-31 23:07,0.9866872979689014,0.5664970930232558,0.005,sgd,cross_entropy,529,191,142,174,288,1635,357,582,118,62,164,74,337,804,398,2349
MaunaNet2,50,9,100,2019-03-31 23:09,0.9783271375552628,0.5725532945736435,0.005,sgd,cross_entropy,561,208,141,194,267,1640,348,573,111,66,181,67,333,778,391,2345
MaunaNet2,50,10,100,2019-03-31 23:13,0.9671646827875182,0.5821220930232558,0.005,sgd,cross_entropy,580,201,143,177,280,1642,328,545,96,68,186,59,316,781,404,2398
MaunaNet2,50,11,100,2019-03-31 23:16,0.9516698556352955,0.5843023255813954,0.005,sgd,cross_entropy,596,202,133,193,245,1624,309,538,116,78,220,64,315,788,399,2384
MaunaNet2,50,12,100,2019-03-31 23:21,0.9472064824067346,0.5929021317829457,0.005,sgd,cross_entropy,628,182,129,189,279,1670,333,541,80,67,212,64,285,773,387,2385
MaunaNet2,50,13,100,2019-03-31 23:25,0.936077916344931,0.5904796511627907,0.005,sgd,cross_entropy,640,195,139,173,249,1667,320,585,103,93,220,73,280,737,382,2348
MaunaNet2,50,14,100,2019-03-31 23:28,0.9211601434751998,0.6025920542635659,0.005,sgd,cross_entropy,669,204,134,183,233,1660,307,526,91,88,239,63,279,740,381,2407
MaunaNet2,50,15,100,2019-03-31 23:32,0.9059896543044452,0.6127664728682171,0.005,sgd,cross_entropy,685,202,135,173,229,1693,302,524,86,93,263,64,272,704,361,2418
MaunaNet2,50,16,100,2019-03-31 23:36,0.894891428392987,0.6234253875968992,0.005,sgd,cross_entropy,706,173,121,175,220,1702,289,492,89,105,291,64,257,712,360,2448
MaunaNet2,50,17,100,2019-03-31 23:40,0.8915975999462512,0.6271802325581395,0.005,sgd,cross_entropy,735,179,125,182,208,1712,304,490,93,103,285,61,236,698,347,2446
MaunaNet2,50,18,100,2019-03-31 23:43,0.871671809706577,0.638202519379845,0.005,sgd,cross_entropy,763,192,128,173,209,1730,288,464,76,96,298,64,224,674,347,2478
MaunaNet2,50,19,100,2019-03-31 23:47,0.87356721153555,0.6316618217054264,0.005,sgd,cross_entropy,772,197,123,183,188,1691,285,472,76,95,292,64,236,709,361,2460
MaunaNet2,50,20,100,2019-03-31 23:51,0.8455686347429142,0.6569767441860465,0.00025,sgd,cross_entropy,885,247,202,196,144,1725,240,420,31,101,303,52,212,619,316,2511
MaunaNet2,50,21,100,2019-03-31 23:54,0.8228694117346476,0.6764777131782945,0.00025,sgd,cross_entropy,902,210,135,182,171,1790,261,386,54,95,353,71,145,597,312,2540
MaunaNet2,50,22,100,2019-03-31 23:58,0.8209857201391413,0.6789001937984496,0.00025,sgd,cross_entropy,881,194,118,174,178,1786,258,362,54,97,358,63,159,615,327,2580
MaunaNet2,50,23,100,2019-04-01 00:02,0.8169888636862584,0.6767199612403101,0.00025,sgd,cross_entropy,872,173,105,163,184,1779,258,377,53,110,364,67,163,630,334,2572
MaunaNet2,50,24,100,2019-04-01 00:06,0.8175905212875485,0.6798691860465116,0.00025,sgd,cross_entropy,870,181,106,171,178,1801,266,360,58,88,357,63,166,622,332,2585
MaunaNet2,50,25,100,2019-04-01 00:09,0.8137806737145712,0.6815649224806202,0.00025,sgd,cross_entropy,894,175,117,176,161,1812,274,355,52,95,335,62,165,610,335,2586
MaunaNet2,50,26,100,2019-04-01 00:13,0.8122866726660913,0.6798691860465116,0.00025,sgd,cross_entropy,872,183,112,168,175,1792,258,355,55,94,360,67,170,623,331,2589
MaunaNet2,50,27,100,2019-04-01 00:17,0.810596554778343,0.6799903100775194,0.00025,sgd,cross_entropy,876,189,109,148,160,1793,263,371,66,91,349,64,170,619,340,2596
MaunaNet2,50,28,100,2019-04-01 00:21,0.8108891923298207,0.6793846899224806,0.00025,sgd,cross_entropy,893,194,108,176,168,1782,259,365,55,95,364,68,156,621,330,2570
MaunaNet2,50,29,100,2019-04-01 00:24,0.8104363374931868,0.6841085271317829,0.00025,sgd,cross_entropy,897,199,115,158,169,1797,254,364,50,88,364,67,156,608,328,2590
MaunaNet2,50,30,100,2019-04-01 00:28,0.8058543833651284,0.6847141472868217,0.00025,sgd,cross_entropy,896,185,114,162,162,1792,249,358,51,97,365,59,163,618,333,2600
MaunaNet2,50,31,100,2019-04-01 00:32,0.809536009795906,0.686046511627907,0.00025,sgd,cross_entropy,871,196,101,164,187,1812,269,344,59,92,379,69,155,592,312,2602
MaunaNet2,50,32,100,2019-04-01 00:35,0.8008644044861313,0.6877422480620154,0.00025,sgd,cross_entropy,909,169,120,160,164,1808,247,353,45,101,370,75,154,614,324,2591
MaunaNet2,50,33,100,2019-04-01 00:39,0.8015120158823885,0.6839874031007752,0.00025,sgd,cross_entropy,892,194,108,176,173,1802,266,352,48,95,361,59,159,601,326,2592
MaunaNet2,50,34,100,2019-04-01 00:43,0.800398124280826,0.6867732558139535,0.00025,sgd,cross_entropy,902,172,118,165,159,1801,252,343,55,99,353,57,156,620,338,2614
MaunaNet2,50,35,100,2019-04-01 00:47,0.8041299036306928,0.6854408914728682,0.00025,sgd,cross_entropy,875,177,112,165,173,1808,252,355,59,111,385,68,165,596,312,2591
MaunaNet2,50,36,100,2019-04-01 00:50,0.7993242722149043,0.6881056201550387,0.00025,sgd,cross_entropy,888,185,105,168,174,1833,257,358,56,95,374,67,154,579,325,2586
MaunaNet2,50,37,100,2019-04-01 00:54,0.8014077474904615,0.6841085271317829,0.00025,sgd,cross_entropy,894,184,110,165,168,1796,256,343,47,99,351,64,163,613,344,2607
MaunaNet2,50,38,100,2019-04-01 00:58,0.8001691833022953,0.6935562015503876,0.00025,sgd,cross_entropy,919,183,111,171,163,1831,253,348,48,94,379,63,142,584,318,2597
MaunaNet2,50,39,100,2019-04-01 01:02,0.7965186658755753,0.6931928294573644,0.00025,sgd,cross_entropy,902,183,104,145,159,1831,261,355,52,96,377,66,159,582,319,2613
MaunaNet2,50,40,100,2019-04-01 01:05,0.7990517431451368,0.6912548449612403,1.25e-05,sgd,cross_entropy,912,182,106,183,172,1832,251,335,55,96,360,58,133,582,344,2603
MaunaNet2,50,41,100,2019-04-01 01:09,0.797129845434381,0.6948885658914729,1.25e-05,sgd,cross_entropy,916,174,106,160,163,1843,261,342,41,86,360,59,152,589,334,2618
MaunaNet2,50,42,100,2019-04-01 01:13,0.7945000700248305,0.6940406976744186,1.25e-05,sgd,cross_entropy,906,174,92,170,169,1830,260,333,46,96,378,60,151,592,331,2616
MaunaNet2,50,43,100,2019-04-01 01:16,0.7921399848405705,0.6919815891472868,1.25e-05,sgd,cross_entropy,911,178,110,160,171,1829,260,344,47,90,361,63,143,595,330,2612
