model,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet4,412,1,100,2019-03-31 23:13,1.1752228539837293,0.4789514462809917,0.005,sgd,cross_entropy,218,61,14,49,631,1714,793,763,32,39,35,25,430,814,364,1742
MaunaNet4,412,2,100,2019-03-31 23:16,1.081283317124548,0.51588326446281,0.005,sgd,cross_entropy,474,152,74,108,424,1703,695,738,119,104,144,59,294,669,293,1674
MaunaNet4,412,3,100,2019-03-31 23:21,1.0231917830538158,0.5410640495867769,0.005,sgd,cross_entropy,583,168,101,136,367,1678,605,695,130,132,241,60,231,650,259,1688
MaunaNet4,412,4,100,2019-03-31 23:25,0.9736213368817794,0.5723140495867769,0.005,sgd,cross_entropy,695,169,97,142,303,1674,555,624,118,151,308,58,195,634,246,1755
MaunaNet4,412,5,100,2019-03-31 23:28,0.9329006731017562,0.5990444214876033,0.005,sgd,cross_entropy,778,163,104,143,254,1691,485,602,103,154,403,67,176,620,214,1767
MaunaNet4,412,6,100,2019-03-31 23:32,0.8980780987700155,0.6229338842975206,0.005,sgd,cross_entropy,829,146,102,153,214,1724,445,576,96,150,485,64,172,608,174,1786
MaunaNet4,412,7,100,2019-03-31 23:36,0.8658161636226434,0.6383006198347108,0.005,sgd,cross_entropy,870,153,92,135,201,1716,432,561,87,169,538,64,153,590,144,1819
MaunaNet4,412,8,100,2019-03-31 23:40,0.8305432028021694,0.6628357438016529,0.005,sgd,cross_entropy,921,135,90,126,148,1733,380,504,89,172,603,73,153,588,133,1876
MaunaNet4,412,9,100,2019-03-31 23:43,0.8048124076906314,0.6776859504132231,0.005,sgd,cross_entropy,957,139,82,150,126,1759,342,488,67,170,660,69,161,560,122,1872
MaunaNet4,412,10,100,2019-03-31 23:47,0.7798588650285705,0.6924070247933884,0.005,sgd,cross_entropy,971,131,72,139,131,1805,343,458,64,169,681,77,145,523,110,1905
MaunaNet4,412,11,100,2019-03-31 23:51,0.7515545679518014,0.7097107438016529,0.005,sgd,cross_entropy,992,136,70,136,109,1822,295,437,59,165,750,74,151,505,91,1932
MaunaNet4,412,12,100,2019-03-31 23:55,0.7256776163400698,0.7246900826446281,0.005,sgd,cross_entropy,1039,128,66,123,91,1857,292,413,45,169,750,77,136,474,98,1966
MaunaNet4,412,13,100,2019-03-31 23:58,0.7106152999499613,0.7290805785123967,0.005,sgd,cross_entropy,1025,134,60,145,90,1859,306,369,52,177,765,68,144,458,75,1997
MaunaNet4,412,14,100,2019-04-01 00:02,0.681784763809078,0.7436725206611571,0.005,sgd,cross_entropy,1048,113,65,139,74,1910,270,350,43,173,777,66,146,432,94,2024
