model,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet2,98,1,100,2019-04-01 12:06,1.1926781605865995,0.42975427350427353,0.005,sgd,cross_entropy,94,72,27,79,526,1273,548,724,58,47,53,85,450,1076,578,1798
MaunaNet2,98,2,100,2019-04-01 12:10,1.1397933959960938,0.4720886752136752,0.005,sgd,cross_entropy,135,29,14,26,433,1488,601,765,147,66,123,106,413,885,468,1789
MaunaNet2,98,3,100,2019-04-01 12:14,1.1100639731197033,0.4947916666666667,0.005,sgd,cross_entropy,229,66,67,64,342,1459,473,706,183,90,217,116,374,853,449,1800
MaunaNet2,98,4,100,2019-04-01 12:18,1.0840236857786016,0.5080128205128205,0.005,sgd,cross_entropy,300,108,96,86,300,1442,427,661,194,111,257,134,334,807,426,1805
MaunaNet2,98,5,100,2019-04-01 12:22,1.0574658280712064,0.5300480769230769,0.005,sgd,cross_entropy,347,126,109,95,287,1487,405,639,186,92,294,111,308,763,398,1841
MaunaNet2,98,6,100,2019-04-01 12:26,1.0362846245199948,0.5443376068376068,0.005,sgd,cross_entropy,358,131,101,88,282,1496,392,584,189,107,333,125,299,734,380,1889
MaunaNet2,98,7,100,2019-04-01 12:30,1.0245459605071505,0.5527510683760684,0.005,sgd,cross_entropy,394,136,123,112,273,1491,356,563,174,117,357,114,287,724,370,1897
MaunaNet2,98,8,100,2019-04-01 12:34,1.005341546010163,0.5635683760683761,0.005,sgd,cross_entropy,421,138,111,105,272,1489,355,550,164,107,392,113,271,734,348,1918
MaunaNet2,98,9,100,2019-04-01 12:38,0.9908071614928164,0.5722489316239316,0.005,sgd,cross_entropy,459,143,125,109,246,1523,346,539,173,121,382,117,250,681,353,1921
MaunaNet2,98,10,100,2019-04-01 12:42,0.9597041889772577,0.5905448717948718,0.0025,sgd,cross_entropy,507,156,110,120,256,1532,321,499,153,108,438,122,212,672,337,1945
MaunaNet2,98,11,100,2019-04-01 12:46,0.9501437171030853,0.6008279914529915,0.0025,sgd,cross_entropy,519,132,101,117,249,1534,324,471,145,124,469,121,215,678,312,1977
MaunaNet2,98,12,100,2019-04-01 12:49,0.9412124116541976,0.6081730769230769,0.0025,sgd,cross_entropy,542,147,113,126,256,1555,322,441,130,103,456,118,200,663,315,2001
MaunaNet2,98,13,100,2019-04-01 12:53,0.9311129036596266,0.6136485042735043,0.0025,sgd,cross_entropy,562,148,114,115,266,1553,311,445,118,110,469,115,182,657,312,2011
