model,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet4,272,1,100,2019-04-01 16:28,1.1140481356916756,0.5145474137931034,0.005,sgd,cross_entropy,10,41,9,32,560,2473,898,1082,8,29,13,14,147,546,226,1324
MaunaNet4,272,2,100,2019-04-01 16:31,1.0220240888924434,0.5544181034482759,0.005,sgd,cross_entropy,4,2,0,0,524,2419,774,855,51,98,142,46,146,570,230,1551
MaunaNet4,272,3,100,2019-04-01 16:34,0.9733196127003637,0.5794719827586207,0.005,sgd,cross_entropy,16,8,7,3,467,2369,657,748,87,146,275,59,155,566,207,1642
MaunaNet4,272,4,100,2019-04-01 16:36,0.934903177721747,0.6022359913793104,0.005,sgd,cross_entropy,34,8,6,6,413,2376,575,701,118,172,374,58,160,533,191,1687
MaunaNet4,272,5,100,2019-04-01 16:39,0.9046368434511382,0.6161099137931034,0.005,sgd,cross_entropy,75,22,9,15,377,2355,546,660,117,182,422,55,156,530,169,1722
MaunaNet4,272,6,100,2019-04-01 16:41,0.8738940666461813,0.6322737068965517,0.005,sgd,cross_entropy,100,25,14,23,329,2353,469,610,135,205,496,74,161,506,167,1745
MaunaNet4,272,7,100,2019-04-01 16:43,0.8526834948309536,0.6544989224137931,0.005,sgd,cross_entropy,137,19,13,36,292,2398,434,571,131,200,545,66,165,472,154,1779
MaunaNet4,272,8,100,2019-04-01 16:45,0.8252589784819504,0.6710668103448276,0.005,sgd,cross_entropy,182,31,25,42,269,2446,432,548,114,173,563,71,160,439,126,1791
MaunaNet4,272,9,100,2019-04-01 16:48,0.801364043663288,0.6850754310344828,0.005,sgd,cross_entropy,220,35,28,53,221,2408,380,486,108,202,622,77,176,444,116,1836
MaunaNet4,272,10,100,2019-04-01 16:50,0.7579915934595568,0.7086476293103449,0.0005,sgd,cross_entropy,219,35,22,45,220,2482,365,434,102,169,652,65,184,403,107,1908
MaunaNet4,272,11,100,2019-04-01 16:52,0.746917724609375,0.7164601293103449,0.0005,sgd,cross_entropy,257,30,22,48,174,2459,321,412,99,195,697,86,195,405,106,1906
MaunaNet4,272,12,100,2019-04-01 16:54,0.7434189237397293,0.7227909482758621,0.0005,sgd,cross_entropy,266,28,15,50,180,2511,344,425,94,171,677,65,185,379,110,1912
MaunaNet4,272,13,100,2019-04-01 16:56,0.7394541378678947,0.7230603448275862,0.0005,sgd,cross_entropy,271,28,26,58,169,2494,340,406,105,179,685,70,180,388,95,1918
MaunaNet4,272,14,100,2019-04-01 16:58,0.7307744519463901,0.7287176724137931,0.0005,sgd,cross_entropy,275,32,23,56,169,2530,328,417,99,163,700,74,182,364,95,1905
MaunaNet4,272,15,100,2019-04-01 17:00,0.7244345566322064,0.7332974137931034,0.0005,sgd,cross_entropy,273,33,20,58,168,2522,315,393,104,172,715,67,180,362,96,1934
MaunaNet4,272,16,100,2019-04-01 17:02,0.7205863821095434,0.7357219827586207,0.0005,sgd,cross_entropy,277,27,21,48,182,2536,316,380,92,182,714,89,174,344,95,1935
MaunaNet4,272,17,100,2019-04-01 17:04,0.7160643873543575,0.7397629310344828,0.0005,sgd,cross_entropy,283,31,26,57,158,2572,316,393,94,158,708,73,190,328,96,1929
MaunaNet4,272,18,100,2019-04-01 17:06,0.7120586263722387,0.7372036637931034,0.0005,sgd,cross_entropy,292,32,22,63,158,2540,322,374,90,153,703,77,185,364,99,1938
MaunaNet4,272,19,100,2019-04-01 17:08,0.708303714620656,0.7454202586206896,0.0005,sgd,cross_entropy,299,33,20,57,162,2577,322,370,83,157,714,81,181,322,90,1944
MaunaNet4,272,20,100,2019-04-01 17:11,0.7040572988575903,0.7491918103448276,5e-05,sgd,cross_entropy,319,26,18,59,132,2560,301,362,97,178,736,84,177,325,91,1947
MaunaNet4,272,21,100,2019-04-01 17:13,0.7008982033565127,0.7451508620689655,5e-05,sgd,cross_entropy,286,26,20,60,133,2547,304,347,110,182,733,79,196,334,89,1966
MaunaNet4,272,22,100,2019-04-01 17:15,0.7031843908901872,0.7435344827586207,5e-05,sgd,cross_entropy,295,33,22,64,138,2551,308,358,104,171,724,80,188,334,92,1950
MaunaNet4,272,23,100,2019-04-01 17:17,0.7004193273083917,0.7469019396551724,5e-05,sgd,cross_entropy,294,26,22,61,143,2571,304,369,99,171,729,71,189,321,91,1951
MaunaNet4,272,24,100,2019-04-01 17:19,0.7009954123661436,0.7487877155172413,5e-05,sgd,cross_entropy,299,26,19,60,141,2587,306,374,101,165,733,78,184,311,88,1940
MaunaNet4,272,25,100,2019-04-01 17:21,0.7002110974542026,0.7495959051724138,5e-05,sgd,cross_entropy,304,32,29,60,122,2579,296,360,104,171,727,77,195,307,94,1955
MaunaNet4,272,26,100,2019-04-01 17:23,0.6979449041958513,0.7510775862068966,5e-05,sgd,cross_entropy,304,24,22,66,127,2591,310,353,103,158,728,80,191,316,86,1953
MaunaNet4,272,27,100,2019-04-01 17:25,0.697595662084119,0.7483836206896551,5e-05,sgd,cross_entropy,299,25,21,60,137,2580,314,355,105,164,717,77,184,320,94,1960
MaunaNet4,272,28,100,2019-04-01 17:27,0.6971309267241379,0.7513469827586207,5e-05,sgd,cross_entropy,312,27,14,59,133,2578,293,365,92,157,740,80,188,327,99,1948
MaunaNet4,272,29,100,2019-04-01 17:29,0.6993187213766163,0.7463631465517241,5e-05,sgd,cross_entropy,302,30,28,60,142,2555,298,362,92,163,736,82,189,341,84,1948
MaunaNet4,272,30,100,2019-04-01 17:31,0.6961703464902681,0.7510775862068966,5e-06,sgd,cross_entropy,311,26,27,58,128,2602,304,365,101,150,719,85,185,311,96,1944
MaunaNet4,272,31,100,2019-04-01 17:33,0.6954420023951037,0.7509428879310345,5e-06,sgd,cross_entropy,301,28,19,63,126,2587,299,369,100,157,736,69,198,317,92,1951
MaunaNet4,272,32,100,2019-04-01 17:35,0.6967047329606681,0.7535021551724138,5e-06,sgd,cross_entropy,304,21,20,62,131,2602,301,348,102,165,731,85,188,301,94,1957
MaunaNet4,272,33,100,2019-04-01 17:37,0.6959925684435614,0.752020474137931,5e-06,sgd,cross_entropy,306,30,19,59,136,2584,294,374,93,159,745,71,190,316,88,1948
MaunaNet4,272,34,100,2019-04-01 17:39,0.6982508692248114,0.7452855603448276,5e-06,sgd,cross_entropy,297,32,24,61,140,2573,315,369,99,160,722,81,189,324,85,1941
MaunaNet4,272,35,100,2019-04-01 17:42,0.696130818334119,0.7533674568965517,5e-06,sgd,cross_entropy,303,30,21,59,139,2606,304,363,102,156,727,73,181,297,94,1957
MaunaNet4,272,36,100,2019-04-01 17:44,0.6968979671083647,0.7490571120689655,5e-06,sgd,cross_entropy,295,21,20,56,132,2579,306,348,98,162,727,88,200,327,93,1960
