model,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet3,724,1,100,2019-04-01 12:11,1.0502395629882812,0.5413818359375,0.005,sgd,cross_entropy,139,19,4,16,474,1573,384,723,19,25,6,17,416,1217,396,2717
MaunaNet3,724,2,100,2019-04-01 12:15,0.9487476348876953,0.597412109375,0.005,sgd,cross_entropy,344,72,20,45,384,1784,398,670,33,29,32,24,287,949,340,2734
MaunaNet3,724,3,100,2019-04-01 12:18,0.8799608945846558,0.6424560546875,0.005,sgd,cross_entropy,475,69,28,46,294,1912,401,587,35,36,61,25,244,817,300,2815
MaunaNet3,724,4,100,2019-04-01 12:22,0.8231694102287292,0.673828125,0.005,sgd,cross_entropy,603,93,37,62,220,1947,343,518,31,46,95,18,194,748,315,2875
MaunaNet3,724,5,100,2019-04-01 12:26,0.7651650905609131,0.7030029296875,0.005,sgd,cross_entropy,692,97,30,65,169,2014,348,439,33,41,109,25,154,682,303,2944
MaunaNet3,724,6,100,2019-04-01 12:30,0.7302939891815186,0.72021484375,0.005,sgd,cross_entropy,728,109,37,62,153,2073,357,407,25,45,117,22,142,607,279,2982
MaunaNet3,724,7,100,2019-04-01 12:34,0.6891278028488159,0.744140625,0.005,sgd,cross_entropy,763,110,38,75,130,2126,326,321,28,58,153,23,127,540,273,3054
MaunaNet3,724,8,100,2019-04-01 12:38,0.6745270490646362,0.7498779296875,0.005,sgd,cross_entropy,776,114,39,71,119,2158,322,347,25,52,171,17,128,510,258,3038
MaunaNet3,724,9,100,2019-04-01 12:42,0.6385480165481567,0.7637939453125,0.005,sgd,cross_entropy,813,99,33,70,100,2193,311,334,25,65,203,21,110,477,243,3048
MaunaNet3,724,10,100,2019-04-01 12:46,0.5741677284240723,0.798828125,0.0025,sgd,cross_entropy,843,93,26,55,85,2312,304,232,21,64,221,18,99,365,239,3168
MaunaNet3,724,11,100,2019-04-01 12:50,0.5487240552902222,0.81494140625,0.0025,sgd,cross_entropy,865,95,27,59,73,2363,303,203,18,64,254,17,92,312,206,3194
MaunaNet3,724,12,100,2019-04-01 12:54,0.5288034677505493,0.8173828125,0.0025,sgd,cross_entropy,872,89,32,58,78,2378,288,196,19,63,247,20,79,304,223,3199
MaunaNet3,724,13,100,2019-04-01 12:58,0.5169742107391357,0.82568359375,0.0025,sgd,cross_entropy,881,92,24,51,58,2409,277,202,20,59,269,15,89,274,220,3205
MaunaNet3,724,14,100,2019-04-01 13:02,0.5084692239761353,0.8214111328125,0.0025,sgd,cross_entropy,868,91,33,59,73,2384,277,198,17,64,277,16,90,295,203,3200
MaunaNet3,724,15,100,2019-04-01 13:06,0.5020455718040466,0.826904296875,0.0025,sgd,cross_entropy,887,94,27,53,56,2404,262,200,22,68,291,28,83,268,210,3192
MaunaNet3,724,16,100,2019-04-01 13:10,0.48005667328834534,0.8377685546875,0.0025,sgd,cross_entropy,891,94,22,50,60,2434,258,182,20,61,318,21,77,245,192,3220
MaunaNet3,724,17,100,2019-04-01 13:14,0.46809086203575134,0.8389892578125,0.0025,sgd,cross_entropy,890,82,30,49,59,2451,261,189,20,62,321,24,79,239,178,3211
MaunaNet3,724,18,100,2019-04-01 13:18,0.46052804589271545,0.846435546875,0.0025,sgd,cross_entropy,901,79,27,47,51,2443,245,175,19,64,363,24,77,248,155,3227
MaunaNet3,724,19,100,2019-04-01 13:22,0.44269126653671265,0.8516845703125,0.0025,sgd,cross_entropy,893,83,24,45,74,2494,238,164,16,50,349,23,65,207,179,3241
MaunaNet3,724,20,100,2019-04-01 13:25,0.4220709800720215,0.864501953125,0.00125,sgd,cross_entropy,925,80,16,46,45,2518,240,142,16,48,370,16,62,188,164,3269
MaunaNet3,724,21,100,2019-04-01 13:29,0.4060207009315491,0.8681640625,0.00125,sgd,cross_entropy,923,77,22,37,41,2525,222,144,17,51,391,19,67,181,155,3273
MaunaNet3,724,22,100,2019-04-01 13:33,0.4056810438632965,0.8701171875,0.00125,sgd,cross_entropy,927,75,21,42,46,2544,241,134,15,45,379,19,60,170,149,3278
MaunaNet3,724,23,100,2019-04-01 13:37,0.3970595896244049,0.8724365234375,0.00125,sgd,cross_entropy,924,74,19,43,41,2567,231,148,18,49,392,18,65,144,148,3264
MaunaNet3,724,24,100,2019-04-01 13:41,0.3985126316547394,0.8695068359375,0.00125,sgd,cross_entropy,924,80,24,41,49,2529,216,144,14,40,401,19,61,185,149,3269
MaunaNet3,724,25,100,2019-04-01 13:45,0.3859855532646179,0.8782958984375,0.00125,sgd,cross_entropy,922,70,22,38,52,2575,220,125,19,42,416,28,55,147,132,3282
MaunaNet3,724,26,100,2019-04-01 13:49,0.38105395436286926,0.875732421875,0.00125,sgd,cross_entropy,925,70,18,40,50,2548,220,131,17,48,424,25,56,168,128,3277
