model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
BenchMarkBn,1,100,2019-03-30 20:11,1.3255842255383004,0.4057418699186992,0.01,adam,cross_entropy,1,7,1,8,933,2053,868,1230,2,6,3,3,450,790,334,1137
BenchMarkBn,2,100,2019-03-30 20:14,1.3257535608803355,0.41196646341463417,0.01,adam,cross_entropy,0,0,0,0,992,2133,894,1268,0,0,0,0,394,723,312,1110
BenchMarkBn,3,100,2019-03-30 20:17,1.3197092195836508,0.4183180894308943,0.01,adam,cross_entropy,0,0,0,0,988,2206,935,1291,0,0,0,0,398,650,271,1087
BenchMarkBn,4,100,2019-03-30 20:20,1.3266238080776804,0.4115853658536585,0.01,adam,cross_entropy,0,0,0,0,1088,2246,921,1384,0,0,0,0,298,610,285,994
BenchMarkBn,5,100,2019-03-30 20:23,1.3239375168715066,0.41539634146341464,0.01,adam,cross_entropy,0,0,0,0,1041,2267,908,1375,0,0,0,0,345,589,298,1003
BenchMarkBn,6,100,2019-03-30 20:26,1.349710604039634,0.3910060975609756,0.01,adam,cross_entropy,0,0,0,0,1189,2454,962,1754,0,0,0,0,197,402,244,624
BenchMarkBn,7,100,2019-03-30 20:29,1.3572785912490473,0.3823678861788618,0.01,adam,cross_entropy,0,0,0,0,1267,2532,991,1900,0,0,0,0,119,324,215,478
BenchMarkBn,8,100,2019-03-30 20:32,1.3582291021579649,0.3832571138211382,0.01,adam,cross_entropy,0,0,0,0,1278,2586,1028,1947,0,0,0,0,108,270,178,431
BenchMarkBn,9,100,2019-03-30 20:35,1.3604040378477515,0.38109756097560976,0.01,adam,cross_entropy,0,0,0,0,1242,2446,940,1824,0,0,0,0,144,410,266,554
BenchMarkBn,10,100,2019-03-30 20:38,1.3541093531662856,0.3857977642276423,0.005,adam,cross_entropy,0,0,0,0,1312,2598,1022,1939,0,0,0,0,74,258,184,439
BenchMarkBn,11,100,2019-03-30 20:41,1.3542135595306148,0.3860518292682927,0.005,adam,cross_entropy,0,0,0,0,1243,2467,927,1806,0,0,0,0,143,389,279,572
BenchMarkBn,12,100,2019-03-30 20:43,1.356257865099403,0.3835111788617886,0.005,adam,cross_entropy,0,1,0,0,1195,2304,880,1663,0,0,0,0,191,551,326,715
BenchMarkBn,13,100,2019-03-30 20:46,1.3554837606786712,0.38452743902439024,0.005,adam,cross_entropy,0,0,0,0,1221,2431,916,1782,0,0,0,0,165,425,290,596
BenchMarkBn,14,100,2019-03-30 20:49,1.3487463230040015,0.3908790650406504,0.005,adam,cross_entropy,0,0,0,0,1262,2518,962,1819,0,0,0,0,124,338,244,559
BenchMarkBn,15,100,2019-03-30 20:52,1.3502671156472308,0.3903709349593496,0.005,adam,cross_entropy,0,0,0,0,1284,2562,1016,1867,0,0,0,0,102,294,190,511
BenchMarkBn,16,100,2019-03-30 20:55,1.3558638657980817,0.3851626016260163,0.005,adam,cross_entropy,0,0,0,0,1322,2632,1062,1978,0,0,0,0,64,224,144,400
BenchMarkBn,17,100,2019-03-30 20:58,1.3569732914126016,0.38363821138211385,0.005,adam,cross_entropy,0,0,0,0,1327,2600,1039,1958,0,0,0,0,59,256,167,420
BenchMarkBn,18,100,2019-03-30 21:01,1.3550738823123094,0.3856707317073171,0.005,adam,cross_entropy,0,0,0,0,1301,2560,1020,1902,0,0,0,0,85,296,186,476
BenchMarkBn,19,100,2019-03-30 21:04,1.3494907782329777,0.39176829268292684,0.005,adam,cross_entropy,0,0,0,0,1282,2618,1035,1912,0,0,0,0,104,238,171,466
BenchMarkBn,20,100,2019-03-30 21:07,1.326033429401677,0.41501524390243905,0.0025,adam,cross_entropy,0,0,0,0,1218,2523,1011,1634,0,0,0,0,168,333,195,744
BenchMarkBn,21,100,2019-03-30 21:10,1.3141025450171493,0.4265752032520325,0.0025,adam,cross_entropy,0,0,0,0,1141,2294,888,1314,0,0,0,0,245,562,318,1064
BenchMarkBn,22,100,2019-03-30 21:13,1.3229991633717606,0.4171747967479675,0.0025,adam,cross_entropy,0,0,0,0,1164,2368,930,1462,0,0,0,0,222,488,276,916
BenchMarkBn,23,100,2019-03-30 21:15,1.3135839942994156,0.4263211382113821,0.0025,adam,cross_entropy,0,0,0,0,1173,2441,946,1463,0,0,0,0,213,415,260,915
BenchMarkBn,24,100,2019-03-30 21:18,1.313877632947472,0.4253048780487805,0.0025,adam,cross_entropy,0,0,0,0,1112,2226,858,1256,0,0,0,0,274,630,348,1122
BenchMarkBn,25,100,2019-03-30 21:21,1.3202938917206555,0.4185721544715447,0.0025,adam,cross_entropy,0,0,0,0,1125,2300,894,1383,0,0,0,0,261,556,312,995
BenchMarkBn,26,100,2019-03-30 21:24,1.3129826987661966,0.4270833333333333,0.0025,adam,cross_entropy,0,0,0,0,1189,2463,967,1479,0,0,0,0,197,393,239,899
BenchMarkBn,27,100,2019-03-30 21:27,1.3041086584571902,0.43546747967479676,0.0025,adam,cross_entropy,0,0,0,0,1162,2396,926,1346,0,0,0,0,224,460,280,1032
BenchMarkBn,28,100,2019-03-30 21:30,1.312460426392594,0.42797256097560976,0.0025,adam,cross_entropy,0,0,0,0,1149,2290,895,1299,0,0,0,0,237,566,311,1079
BenchMarkBn,29,100,2019-03-30 21:33,1.3130309562372968,0.4273373983739837,0.0025,adam,cross_entropy,0,0,0,0,1136,2238,866,1252,0,0,0,0,250,618,340,1126
BenchMarkBn,30,100,2019-03-30 21:36,1.3088368981834348,0.43076727642276424,0.00125,adam,cross_entropy,0,0,0,0,1150,2273,875,1260,0,0,0,0,236,583,331,1118
BenchMarkBn,31,100,2019-03-30 21:39,1.3095357011004192,0.43076727642276424,0.00125,adam,cross_entropy,0,0,0,0,1140,2265,861,1252,0,0,0,0,246,591,345,1126
BenchMarkBn,32,100,2019-03-30 21:42,1.3038317672605437,0.43546747967479676,0.00125,adam,cross_entropy,0,0,0,0,1154,2309,875,1259,0,0,0,0,232,547,331,1119
BenchMarkBn,33,100,2019-03-30 21:45,1.3063906537808054,0.4335619918699187,0.00125,adam,cross_entropy,0,0,0,0,1169,2325,889,1290,0,0,0,0,217,531,317,1088
BenchMarkBn,34,100,2019-03-30 21:48,1.3027756853801449,0.4380081300813008,0.00125,adam,cross_entropy,0,0,0,0,1173,2358,894,1288,0,0,0,0,213,498,312,1090
BenchMarkBn,35,100,2019-03-30 21:51,1.3057239811594894,0.4339430894308943,0.00125,adam,cross_entropy,0,0,0,0,1203,2404,931,1366,0,0,0,0,183,452,275,1012
BenchMarkBn,36,100,2019-03-30 21:54,1.3007738066882621,0.4399136178861789,0.00125,adam,cross_entropy,0,0,0,0,1178,2441,925,1356,0,0,0,0,208,415,281,1022
BenchMarkBn,37,100,2019-03-30 21:57,1.301399292984629,0.4375,0.00125,adam,cross_entropy,0,0,0,0,1174,2397,907,1331,0,0,0,0,212,459,299,1047
BenchMarkBn,38,100,2019-03-30 22:00,1.3019202007510797,0.43877032520325204,0.00125,adam,cross_entropy,0,0,0,0,1187,2463,956,1387,0,0,0,0,199,393,250,991
BenchMarkBn,39,100,2019-03-30 22:02,1.3038290380462398,0.43622967479674796,0.00125,adam,cross_entropy,0,0,0,0,1177,2427,954,1371,0,0,0,0,209,429,252,1007
BenchMarkBn,40,100,2019-03-30 22:05,1.3010638477356453,0.4380081300813008,0.000625,adam,cross_entropy,0,0,0,0,1165,2368,905,1298,0,0,0,0,221,488,301,1080
BenchMarkBn,41,100,2019-03-30 22:08,1.3051323619315294,0.43584857723577236,0.000625,adam,cross_entropy,0,0,0,0,1172,2377,903,1324,0,0,0,0,214,479,303,1054
