model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
BenchMarkBn,1,100,2019-03-30 20:12,1.3144020142594004,0.40066056910569103,0.01,sgd,cross_entropy,11,22,3,12,940,1990,840,1206,22,38,16,23,413,806,347,1137
BenchMarkBn,2,100,2019-03-30 20:15,1.297427665896532,0.42314532520325204,0.01,sgd,cross_entropy,0,0,0,0,960,2101,881,1148,0,0,0,0,426,755,325,1230
BenchMarkBn,3,100,2019-03-30 20:18,1.2901049358088796,0.4272103658536585,0.01,sgd,cross_entropy,1,0,1,2,966,2094,865,1108,0,0,0,0,419,762,340,1268
BenchMarkBn,4,100,2019-03-30 20:20,1.2838080181338922,0.4343241869918699,0.01,sgd,cross_entropy,44,10,8,6,941,2095,884,1092,0,0,0,0,401,751,314,1280
BenchMarkBn,5,100,2019-03-30 20:23,1.2737423036156632,0.45210873983739835,0.01,sgd,cross_entropy,159,52,15,39,840,2098,888,1037,0,0,0,0,387,706,303,1302
BenchMarkBn,6,100,2019-03-30 20:26,1.2683807621157266,0.4584603658536585,0.01,sgd,cross_entropy,218,82,31,55,815,2069,865,1001,0,0,0,0,353,705,310,1322
BenchMarkBn,7,100,2019-03-30 20:29,1.256113191930259,0.4740853658536585,0.01,sgd,cross_entropy,340,113,54,84,731,2064,861,966,0,0,0,0,315,679,291,1328
BenchMarkBn,8,100,2019-03-30 20:32,1.2501934020499872,0.4790396341463415,0.01,sgd,cross_entropy,437,164,78,121,646,2043,865,966,0,0,0,0,303,649,263,1291
BenchMarkBn,9,100,2019-03-30 20:35,1.2446779080522739,0.4836128048780488,0.01,sgd,cross_entropy,444,170,75,126,645,2009,833,898,0,0,0,0,297,677,298,1354
BenchMarkBn,10,100,2019-03-30 20:38,1.2361573009956173,0.499364837398374,0.005,sgd,cross_entropy,527,159,96,126,598,2045,845,893,0,0,0,0,261,652,265,1359
