model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet3,1,100,2019-03-30 20:12,1.3355261329712906,0.358739837398374,0.01,adam,cross_entropy,0,0,0,0,1283,2619,1111,2173,0,0,0,0,103,237,95,205
MaunaNet3,2,100,2019-03-30 20:15,1.3305499069089812,0.3628048780487805,0.01,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,3,100,2019-03-30 20:18,1.3306328998348578,0.3628048780487805,0.01,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,4,100,2019-03-30 20:21,1.3311053020198171,0.3628048780487805,0.01,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,5,100,2019-03-30 20:24,1.330654609494093,0.3628048780487805,0.01,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,6,100,2019-03-30 20:27,1.3310931446106453,0.3628048780487805,0.01,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,7,100,2019-03-30 20:29,1.3300149809054242,0.3628048780487805,0.01,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,8,100,2019-03-30 20:32,1.3303344230341718,0.3628048780487805,0.01,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,9,100,2019-03-30 20:35,1.3302666888973578,0.3628048780487805,0.01,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,10,100,2019-03-30 20:38,1.3306732177734375,0.3628048780487805,0.005,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,11,100,2019-03-30 20:41,1.329963746109629,0.3628048780487805,0.005,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,12,100,2019-03-30 20:43,1.3305446965907648,0.3628048780487805,0.005,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,13,100,2019-03-30 20:46,1.3303717636480563,0.3628048780487805,0.005,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,14,100,2019-03-30 20:49,1.3295255831586636,0.3628048780487805,0.005,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,15,100,2019-03-30 20:52,1.3303324381510417,0.3628048780487805,0.005,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,16,100,2019-03-30 20:55,1.3307956602515243,0.3628048780487805,0.005,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,17,100,2019-03-30 20:58,1.3296616717082699,0.3628048780487805,0.005,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,18,100,2019-03-30 21:00,1.3305219944899644,0.3628048780487805,0.005,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,19,100,2019-03-30 21:03,1.3297996210858105,0.3628048780487805,0.005,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,20,100,2019-03-30 21:06,1.3304283328172637,0.3628048780487805,0.0025,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,21,100,2019-03-30 21:09,1.330339757407584,0.3628048780487805,0.0025,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,22,100,2019-03-30 21:12,1.3300691930259145,0.3628048780487805,0.0025,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,23,100,2019-03-30 21:15,1.3304385053433054,0.3628048780487805,0.0025,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,24,100,2019-03-30 21:18,1.3294413496808308,0.3628048780487805,0.0025,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,25,100,2019-03-30 21:21,1.3297537206634273,0.3628048780487805,0.0025,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,26,100,2019-03-30 21:23,1.3301733993902438,0.3628048780487805,0.0025,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,27,100,2019-03-30 21:26,1.3300445060419843,0.3628048780487805,0.0025,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,28,100,2019-03-30 21:29,1.3300044362137957,0.3628048780487805,0.0025,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,29,100,2019-03-30 21:32,1.3297956513195504,0.3628048780487805,0.0025,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,30,100,2019-03-30 21:35,1.3300921432371062,0.3628048780487805,0.00125,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,31,100,2019-03-30 21:38,1.3290913899739583,0.3628048780487805,0.00125,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,32,100,2019-03-30 21:40,1.3305038824314024,0.3628048780487805,0.00125,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,33,100,2019-03-30 21:43,1.3302408854166667,0.3628048780487805,0.00125,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,34,100,2019-03-30 21:46,1.3303597302940804,0.3628048780487805,0.00125,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,35,100,2019-03-30 21:49,1.3303965746871824,0.3628048780487805,0.00125,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,36,100,2019-03-30 21:52,1.3301437501984883,0.3628048780487805,0.00125,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,37,100,2019-03-30 21:55,1.3298465139497586,0.3628048780487805,0.00125,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,38,100,2019-03-30 21:57,1.3295910843019563,0.3628048780487805,0.00125,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,39,100,2019-03-30 22:00,1.330041280606898,0.3628048780487805,0.00125,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,40,100,2019-03-30 22:03,1.3293388800892403,0.3628048780487805,0.000625,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,41,100,2019-03-30 22:06,1.329951340590066,0.3628048780487805,0.000625,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,42,100,2019-03-30 22:08,1.3291291027534298,0.3628048780487805,0.000625,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
MaunaNet3,43,100,2019-03-30 22:11,1.329885591336382,0.3628048780487805,0.000625,adam,cross_entropy,0,0,0,0,1386,2856,1206,2378,0,0,0,0,0,0,0,0
