model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
alexnet,1,50,2019-02-20 17:56,1.0626475016276042,0.5586622807017544,0.01,sgd,cross_entropy,100,8,7,11,84,910,71,164,0,0,0,0,927,1187,720,3066
alexnet,2,50,2019-02-20 18:00,0.7151305884645697,0.7249177631578947,0.01,sgd,cross_entropy,699,69,31,122,63,1735,154,282,1,3,22,4,348,298,591,2833
alexnet,3,50,2019-02-20 18:04,0.561917221337034,0.7845394736842105,0.01,sgd,cross_entropy,883,45,36,130,28,1803,154,221,13,31,180,32,187,226,428,2858
alexnet,4,50,2019-02-20 18:08,0.4414216091758327,0.8399122807017544,0.01,sgd,cross_entropy,983,32,30,110,10,1868,128,136,10,39,349,67,108,166,291,2928
alexnet,5,50,2019-02-20 18:12,0.38072234705874797,0.8655427631578947,0.01,sgd,cross_entropy,1023,19,26,85,13,1895,119,139,10,46,453,73,65,145,200,2944
alexnet,6,50,2019-02-20 18:16,0.3147095797354715,0.8898026315789473,0.01,sgd,cross_entropy,1053,9,26,58,13,1926,100,106,5,45,509,73,40,125,163,3004
alexnet,7,50,2019-02-20 18:21,0.2817240597908957,0.9033717105263158,0.01,sgd,cross_entropy,1061,5,23,49,13,1946,87,101,4,45,555,62,33,109,133,3029
alexnet,8,50,2019-02-20 18:25,0.2326472934923674,0.9200932017543859,0.01,sgd,cross_entropy,1080,6,23,42,12,1963,77,75,0,55,593,47,19,81,105,3077
alexnet,9,50,2019-02-20 18:29,0.2050755818684896,0.9276315789473685,0.01,sgd,cross_entropy,1081,4,23,35,11,1979,69,58,0,44,615,55,19,78,91,3093
alexnet,10,50,2019-02-20 18:34,0.17190161922521757,0.9364035087719298,0.01,sgd,cross_entropy,1079,6,18,29,12,1999,64,53,1,43,640,45,19,57,76,3114
alexnet,11,50,2019-02-20 18:38,0.15442679221169991,0.9449013157894737,0.01,sgd,cross_entropy,1094,4,15,21,8,2014,54,49,1,32,659,44,8,55,70,3127
alexnet,12,50,2019-02-20 18:43,0.12967519592820553,0.953125,0.01,sgd,cross_entropy,1090,1,14,17,7,2030,44,42,0,28,680,28,14,46,60,3154
