model,fz_depth,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,3,1,100,2019-02-27 15:17,1.1940569790926847,0.5390625,0.01,sgd,cross_entropy,709,154,104,296,331,1637,408,528,0,3,0,5,429,468,504,1449
AlexNet,3,2,100,2019-02-27 15:23,1.0629547119140625,0.6772727272727272,0.01,sgd,cross_entropy,1123,127,160,248,107,1880,354,265,0,0,0,0,239,255,502,1765
AlexNet,3,3,100,2019-02-27 15:28,1.0042867487127132,0.7414772727272727,0.01,sgd,cross_entropy,1247,67,184,172,47,2000,324,133,0,0,0,0,175,195,508,1973
AlexNet,3,4,100,2019-02-27 15:34,0.9798667214133523,0.7654829545454546,0.01,sgd,cross_entropy,1298,50,181,135,48,2076,308,128,0,0,0,0,123,136,527,2015
AlexNet,3,5,100,2019-02-27 15:39,0.9613291653719815,0.7830965909090909,0.01,sgd,cross_entropy,1330,30,166,102,39,2113,320,106,0,0,0,0,100,119,530,2070
AlexNet,3,6,100,2019-02-27 15:44,0.9488770918412642,0.7940340909090909,0.01,sgd,cross_entropy,1359,24,178,92,32,2143,310,98,0,0,0,0,78,95,528,2088
AlexNet,3,7,100,2019-02-27 15:49,0.9417888988148082,0.8018465909090909,0.01,sgd,cross_entropy,1380,27,187,78,27,2142,320,77,0,0,0,0,62,93,509,2123
AlexNet,3,8,100,2019-02-27 15:54,0.9325112082741477,0.8122159090909091,0.01,sgd,cross_entropy,1394,16,149,52,23,2165,311,67,0,0,0,0,52,81,556,2159
AlexNet,3,9,100,2019-02-27 15:59,0.930319560657848,0.8120738636363637,0.01,sgd,cross_entropy,1380,19,173,57,22,2171,323,55,0,0,0,0,67,72,520,2166
AlexNet,3,10,100,2019-02-27 16:05,0.9191416653719815,0.8237215909090909,0.01,sgd,cross_entropy,1381,15,162,58,23,2145,266,69,21,45,176,54,44,57,412,2097
AlexNet,3,11,100,2019-02-27 16:10,0.8845847389914773,0.8647727272727272,0.01,sgd,cross_entropy,1370,12,80,54,18,2111,168,69,27,71,550,98,54,68,218,2057
AlexNet,3,12,100,2019-02-27 16:15,0.8648400046608665,0.8826704545454546,0.01,sgd,cross_entropy,1362,20,63,50,20,2118,141,52,34,55,659,101,53,69,153,2075
AlexNet,3,13,100,2019-02-27 16:20,0.8543199712579901,0.8940340909090909,0.01,sgd,cross_entropy,1371,14,64,42,21,2136,127,53,37,52,677,73,40,60,148,2110
AlexNet,3,14,100,2019-02-27 16:25,0.8371446782892401,0.9109375,0.01,sgd,cross_entropy,1383,17,51,38,16,2168,119,46,27,37,734,66,43,40,112,2128
AlexNet,3,15,100,2019-02-27 16:31,0.8248116233132102,0.9217329545454546,0.01,sgd,cross_entropy,1402,11,33,34,16,2179,118,38,23,24,757,55,28,48,108,2151
AlexNet,3,16,100,2019-02-27 16:36,0.8274012478915128,0.9190340909090909,0.01,sgd,cross_entropy,1389,21,43,31,19,2160,103,43,22,32,768,51,39,49,102,2153
AlexNet,3,17,100,2019-02-27 16:41,0.820790585604581,0.9247159090909091,0.01,sgd,cross_entropy,1404,15,33,29,20,2168,111,50,20,33,780,41,25,46,92,2158
AlexNet,3,18,100,2019-02-27 16:46,0.8149729642001066,0.9323863636363636,0.01,sgd,cross_entropy,1415,10,28,28,11,2182,95,36,13,25,800,47,30,45,93,2167
AlexNet,3,19,100,2019-02-27 16:51,0.8100740606134588,0.9352272727272727,0.01,sgd,cross_entropy,1418,12,33,22,12,2186,94,35,9,24,801,42,30,40,88,2179
AlexNet,3,20,100,2019-02-27 16:56,0.8141718084161932,0.93125,0.01,sgd,cross_entropy,1402,12,41,31,19,2185,88,43,21,22,798,33,27,43,89,2171
