model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,3,0,0,1,100,2019-03-30 15:39,1.146707769025836,0.5934758771929824,0.01,sgd,cross_entropy,176,18,10,49,152,1308,161,346,0,0,0,0,783,779,627,2846
AlexNet,3,0,0,2,100,2019-03-30 15:46,1.023400156121505,0.7179276315789473,0.01,sgd,cross_entropy,720,37,47,172,81,1677,162,228,0,0,0,0,310,391,589,2841
AlexNet,3,0,0,3,100,2019-03-30 15:53,0.9735939962822094,0.7690515350877193,0.01,sgd,cross_entropy,855,41,75,134,48,1820,170,171,0,0,0,0,208,244,553,2936
AlexNet,3,0,0,4,100,2019-03-30 15:59,0.9498122365851152,0.7919407894736842,0.01,sgd,cross_entropy,928,49,98,131,51,1866,171,126,0,0,0,0,132,190,529,2984
AlexNet,3,0,0,5,100,2019-03-30 16:06,0.9297201591625548,0.8107182017543859,0.01,sgd,cross_entropy,989,28,89,98,16,1900,157,117,0,0,0,0,106,177,552,3026
AlexNet,3,0,0,6,100,2019-03-30 16:14,0.9216800488923725,0.8181195175438597,0.01,sgd,cross_entropy,995,22,92,89,19,1929,170,107,0,0,0,0,97,154,536,3045
AlexNet,3,0,0,7,100,2019-03-30 16:21,0.9124406513414884,0.8289473684210527,0.01,sgd,cross_entropy,1034,25,82,63,20,1937,203,101,0,0,0,0,57,143,513,3077
AlexNet,3,0,0,8,100,2019-03-30 16:27,0.911972581294545,0.8299067982456141,0.01,sgd,cross_entropy,1037,23,83,75,24,1936,171,84,0,0,0,0,50,146,544,3082
AlexNet,3,0,0,9,100,2019-03-30 16:34,0.8992174382795367,0.8408717105263158,0.01,sgd,cross_entropy,1048,23,67,50,20,1974,180,78,0,0,0,0,43,108,551,3113
AlexNet,3,0,0,10,100,2019-03-30 16:40,0.8882255554199219,0.8536184210526315,0.005,sgd,cross_entropy,1071,14,58,38,16,2013,197,59,0,0,0,0,24,78,543,3144
AlexNet,3,0,0,11,100,2019-03-30 16:46,0.8825759218450178,0.8573190789473685,0.005,sgd,cross_entropy,1086,17,69,38,11,2031,224,65,0,0,0,0,14,57,505,3138
AlexNet,3,0,0,12,100,2019-03-30 16:52,0.8820998877809759,0.8574561403508771,0.005,sgd,cross_entropy,1077,12,68,33,14,2028,214,57,0,0,0,0,20,65,516,3151
AlexNet,3,0,0,13,100,2019-03-30 16:58,0.8807615313613624,0.860608552631579,0.005,sgd,cross_entropy,1082,16,70,24,13,2033,213,53,0,0,0,0,16,56,515,3164
AlexNet,3,0,0,14,100,2019-03-30 17:04,0.8782376741108141,0.8622532894736842,0.005,sgd,cross_entropy,1087,19,71,24,14,2043,225,56,0,0,0,0,10,43,502,3161
AlexNet,3,0,0,15,100,2019-03-30 17:10,0.8796884637129935,0.8601973684210527,0.005,sgd,cross_entropy,1083,19,64,29,15,2037,228,56,0,0,0,0,13,49,506,3156
AlexNet,3,0,0,16,100,2019-03-30 17:16,0.8783901950769257,0.8601973684210527,0.005,sgd,cross_entropy,1084,17,78,28,16,2032,243,53,0,0,0,0,11,56,477,3160
AlexNet,3,0,0,17,100,2019-03-30 17:22,0.8768661900570518,0.8625274122807017,0.005,sgd,cross_entropy,1087,13,76,24,11,2035,237,46,0,0,0,0,13,57,485,3171
AlexNet,3,0,0,18,100,2019-03-30 17:28,0.8763987223307291,0.8630756578947368,0.005,sgd,cross_entropy,1082,16,86,19,13,2036,219,43,0,0,0,0,16,53,493,3179
AlexNet,3,0,0,19,100,2019-03-30 17:34,0.8764586197702509,0.8628015350877193,0.005,sgd,cross_entropy,1085,15,64,20,16,2041,243,52,0,0,0,0,10,49,491,3169
AlexNet,3,0,0,20,100,2019-03-30 17:40,0.8729130259731359,0.8658168859649122,0.0025,sgd,cross_entropy,1079,11,70,15,15,2051,259,39,0,0,0,0,17,43,469,3187
