model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
ResNet18,15,0,128,1,100,2019-03-31 11:58,1.1207156851271953,0.5085227272727273,0.001,sgd,cross_entropy,182,49,12,41,514,1886,543,772,61,112,99,125,308,680,552,1771
ResNet18,15,0,128,2,100,2019-03-31 12:03,0.7807466491194796,0.7441890495867769,0.001,sgd,cross_entropy,698,24,12,9,205,2393,488,366,59,52,381,43,103,258,325,2291
ResNet18,15,0,128,3,100,2019-03-31 12:07,0.5955767040410318,0.8252840909090909,0.001,sgd,cross_entropy,879,30,21,17,91,2453,341,221,61,75,663,75,34,169,181,2396
ResNet18,15,0,128,4,100,2019-03-31 12:12,0.4894090762808303,0.856275826446281,0.001,sgd,cross_entropy,922,30,21,18,58,2501,281,191,55,75,781,73,30,121,123,2427
ResNet18,15,0,128,5,100,2019-03-31 12:16,0.41617511717741157,0.8734504132231405,0.001,sgd,cross_entropy,960,40,27,16,40,2486,232,147,46,84,848,76,19,117,99,2470
ResNet18,15,0,128,6,100,2019-03-31 12:21,0.3629527446652247,0.8886880165289256,0.001,sgd,cross_entropy,983,27,26,10,26,2525,218,129,40,74,876,72,16,101,86,2498
ResNet18,15,0,128,7,100,2019-03-31 12:26,0.32076966466982504,0.9001807851239669,0.001,sgd,cross_entropy,998,16,25,12,26,2540,180,117,32,75,915,62,9,96,86,2518
ResNet18,15,0,128,8,100,2019-03-31 12:30,0.2843947607623644,0.9101239669421488,0.001,sgd,cross_entropy,1011,14,27,7,19,2555,183,105,23,79,939,54,12,79,57,2543
ResNet18,15,0,128,9,100,2019-03-31 12:35,0.2551471615625807,0.9201962809917356,0.001,sgd,cross_entropy,1015,15,22,7,18,2581,166,84,23,69,961,49,9,62,57,2569
ResNet18,15,0,128,10,100,2019-03-31 12:40,0.2382465078811015,0.9227789256198347,0.0005,sgd,cross_entropy,1015,16,23,6,13,2594,159,85,23,51,965,46,14,66,59,2572
ResNet18,15,0,128,11,100,2019-03-31 12:45,0.22965393381670487,0.9265237603305785,0.0005,sgd,cross_entropy,1018,13,19,11,15,2590,136,78,21,60,986,39,11,64,65,2581
