model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,10,0,89,1,100,2019-03-31 17:14,0.8636088136766777,0.6465163934426229,0.005,sgd,cross_entropy,831,178,52,181,271,1965,272,528,6,82,89,35,361,495,286,2163
AlexNet,10,0,89,2,100,2019-03-31 17:18,0.6924514145147606,0.7283555327868853,0.005,sgd,cross_entropy,1064,180,51,174,136,2145,256,348,13,95,159,66,256,300,233,2319
AlexNet,10,0,89,3,100,2019-03-31 17:21,0.6278388226618532,0.7579405737704918,0.005,sgd,cross_entropy,1117,148,41,173,123,2203,235,299,8,96,226,63,221,273,197,2372
AlexNet,10,0,89,4,100,2019-03-31 17:25,0.5852996951243916,0.7762551229508197,0.005,sgd,cross_entropy,1168,133,42,165,99,2257,219,275,12,88,244,75,190,242,194,2392
AlexNet,10,0,89,5,100,2019-03-31 17:28,0.5456802493236104,0.7945696721311475,0.005,sgd,cross_entropy,1201,115,41,152,84,2300,209,249,13,76,263,66,171,229,186,2440
AlexNet,10,0,89,6,100,2019-03-31 17:32,0.5104829756939997,0.811219262295082,0.005,sgd,cross_entropy,1212,110,38,146,95,2317,191,190,5,76,296,62,157,217,174,2509
AlexNet,10,0,89,7,100,2019-03-31 17:36,0.49113279874207544,0.8110911885245902,0.005,sgd,cross_entropy,1236,115,50,130,79,2313,184,207,7,78,300,86,147,214,165,2484
AlexNet,10,0,89,8,100,2019-03-31 17:39,0.46663406246998274,0.8283811475409836,0.005,sgd,cross_entropy,1272,94,44,119,72,2336,173,196,14,77,331,63,111,213,151,2529
AlexNet,10,0,89,9,100,2019-03-31 17:43,0.44790102223880957,0.8318391393442623,0.005,sgd,cross_entropy,1273,89,36,131,72,2374,187,193,10,75,327,62,114,182,149,2521
AlexNet,10,0,89,10,100,2019-03-31 17:46,0.4322488190697842,0.8408043032786885,0.005,sgd,cross_entropy,1299,84,31,117,63,2378,164,177,4,61,349,74,103,197,155,2539
