model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,8,0,101,1,100,2019-03-31 17:09,0.8941483536386877,0.6316056910569106,0.005,sgd,cross_entropy,741,142,60,172,265,2062,341,441,22,95,198,121,361,397,462,1971
AlexNet,8,0,101,2,100,2019-03-31 17:11,0.6865286478182164,0.7313262195121951,0.005,sgd,cross_entropy,1018,117,66,168,113,2225,230,291,26,121,425,157,232,233,340,2089
AlexNet,8,0,101,3,100,2019-03-31 17:15,0.5846139551178227,0.7813770325203252,0.005,sgd,cross_entropy,1128,70,67,138,74,2305,206,222,21,108,505,132,166,213,283,2213
AlexNet,8,0,101,4,100,2019-03-31 17:18,0.5081487826215543,0.8114837398373984,0.005,sgd,cross_entropy,1170,66,51,110,61,2356,186,174,22,80,577,136,136,194,247,2285
AlexNet,8,0,101,5,100,2019-03-31 17:22,0.4610417373781282,0.8319359756097561,0.005,sgd,cross_entropy,1194,49,60,96,50,2401,175,170,21,74,646,131,124,172,180,2308
AlexNet,8,0,101,6,100,2019-03-31 17:25,0.41339105125365216,0.8514989837398373,0.005,sgd,cross_entropy,1229,40,52,86,47,2418,164,145,26,70,682,100,87,168,163,2374
AlexNet,8,0,101,7,100,2019-03-31 17:29,0.37757324590915586,0.8652184959349594,0.005,sgd,cross_entropy,1259,43,36,68,43,2437,154,129,16,69,711,104,71,147,160,2404
AlexNet,8,0,101,8,100,2019-03-31 17:32,0.3534364157575902,0.8733485772357723,0.005,sgd,cross_entropy,1270,32,43,61,38,2469,133,140,19,51,738,106,62,144,147,2398
AlexNet,8,0,101,9,100,2019-03-31 17:36,0.31929989946566945,0.8883384146341463,0.005,sgd,cross_entropy,1293,31,36,49,32,2469,121,123,19,59,781,83,45,137,123,2450
AlexNet,8,0,101,10,100,2019-03-31 17:40,0.30057575256843877,0.8936737804878049,0.005,sgd,cross_entropy,1289,25,36,56,25,2499,118,111,15,47,787,78,60,125,120,2460
AlexNet,8,0,101,11,100,2019-03-31 17:43,0.2795599960699314,0.9018038617886179,0.005,sgd,cross_entropy,1298,27,30,57,24,2511,97,107,18,47,819,70,49,111,115,2471
AlexNet,8,0,101,12,100,2019-03-31 17:47,0.2656354206364329,0.9071392276422764,0.005,sgd,cross_entropy,1303,24,30,43,21,2516,95,96,18,44,829,73,47,112,107,2493
AlexNet,8,0,101,13,100,2019-03-31 17:50,0.25133574881204745,0.9133638211382114,0.005,sgd,cross_entropy,1312,21,25,33,21,2517,98,86,10,49,844,69,46,109,94,2517
AlexNet,8,0,101,14,100,2019-03-31 17:54,0.22530771271000063,0.9223831300813008,0.005,sgd,cross_entropy,1324,14,23,45,15,2545,75,86,13,36,878,60,37,101,85,2514
AlexNet,8,0,101,15,100,2019-03-31 17:58,0.22470486648683627,0.9203506097560976,0.005,sgd,cross_entropy,1316,14,19,34,22,2523,78,90,8,56,877,52,43,103,87,2529
AlexNet,8,0,101,16,100,2019-03-31 18:01,0.2075009539844544,0.9250508130081301,0.005,sgd,cross_entropy,1327,20,20,33,17,2536,72,85,13,43,884,52,32,97,85,2535
AlexNet,8,0,101,17,100,2019-03-31 18:05,0.20419598401077393,0.9246697154471545,0.005,sgd,cross_entropy,1318,12,23,36,16,2552,72,87,12,43,884,57,43,89,82,2525
AlexNet,8,0,101,18,100,2019-03-31 18:08,0.1944981861889847,0.9329268292682927,0.005,sgd,cross_entropy,1328,18,24,36,21,2560,68,68,8,34,906,51,32,84,63,2550
AlexNet,8,0,101,19,100,2019-03-31 18:12,0.18206577766232374,0.9375,0.005,sgd,cross_entropy,1334,14,17,34,18,2577,58,70,11,32,909,41,26,73,77,2560
AlexNet,8,0,101,20,100,2019-03-31 18:15,0.17045078432656885,0.9439786585365854,0.0025,sgd,cross_entropy,1349,15,11,30,12,2578,57,57,5,35,926,40,23,68,67,2578
AlexNet,8,0,101,21,100,2019-03-31 18:19,0.16451803067835366,0.9432164634146342,0.0025,sgd,cross_entropy,1345,13,17,24,13,2584,56,59,9,26,918,44,22,73,70,2578
AlexNet,8,0,101,22,100,2019-03-31 18:22,0.1604525093140641,0.9439786585365854,0.0025,sgd,cross_entropy,1336,14,12,24,10,2583,56,62,11,33,936,43,32,66,57,2576
AlexNet,8,0,101,23,100,2019-03-31 18:26,0.15815906989865186,0.9420731707317073,0.0025,sgd,cross_entropy,1344,12,13,27,7,2586,63,69,10,24,925,48,28,74,60,2561
AlexNet,8,0,101,24,100,2019-03-31 18:29,0.15627814502250859,0.948170731707317,0.0025,sgd,cross_entropy,1348,11,15,24,12,2592,54,58,5,28,940,39,24,65,52,2584
AlexNet,8,0,101,25,100,2019-03-31 18:33,0.14994554597187817,0.9485518292682927,0.0025,sgd,cross_entropy,1346,15,15,21,9,2587,50,51,7,31,932,31,27,63,64,2602
AlexNet,8,0,101,26,100,2019-03-31 18:36,0.14080477148536744,0.953125,0.0025,sgd,cross_entropy,1354,10,12,26,9,2608,47,53,8,25,949,34,18,53,53,2592
AlexNet,8,0,101,27,100,2019-03-31 18:40,0.1403762383189628,0.9508384146341463,0.0025,sgd,cross_entropy,1345,11,15,25,9,2605,50,53,12,26,943,35,23,54,53,2592
AlexNet,8,0,101,28,100,2019-03-31 18:44,0.1452013961667937,0.9502032520325203,0.0025,sgd,cross_entropy,1349,10,6,19,9,2600,49,52,6,23,942,45,25,63,64,2589
AlexNet,8,0,101,29,100,2019-03-31 18:47,0.1401315859662808,0.9502032520325203,0.0025,sgd,cross_entropy,1350,10,11,21,9,2609,58,54,8,27,928,37,22,50,64,2593
AlexNet,8,0,101,30,100,2019-03-31 18:51,0.13738081707217828,0.9529979674796748,0.0025,sgd,cross_entropy,1352,14,14,20,9,2599,49,51,4,25,952,35,24,58,46,2599
AlexNet,8,0,101,31,100,2019-03-31 18:54,0.13385121415301068,0.9569359756097561,0.0025,sgd,cross_entropy,1357,12,19,26,11,2607,38,42,5,23,956,24,16,54,48,2613
AlexNet,8,0,101,32,100,2019-03-31 18:58,0.1287408844242251,0.9566819105691057,0.0025,sgd,cross_entropy,1353,8,11,17,10,2610,43,49,7,27,960,31,19,51,47,2608
AlexNet,8,0,101,33,100,2019-03-31 19:01,0.12862826556694218,0.9573170731707317,0.0025,sgd,cross_entropy,1349,8,12,23,8,2614,35,45,9,20,969,33,23,54,45,2604
AlexNet,8,0,101,34,100,2019-03-31 19:05,0.12318415758086414,0.9582063008130082,0.0025,sgd,cross_entropy,1359,6,9,18,9,2610,34,46,5,32,971,38,16,48,47,2603
AlexNet,8,0,101,35,100,2019-03-31 19:08,0.11879361160402375,0.9611280487804879,0.0025,sgd,cross_entropy,1360,13,9,19,6,2631,39,35,4,13,963,39,19,39,50,2612
AlexNet,8,0,101,36,100,2019-03-31 19:12,0.11873726728485852,0.9588414634146342,0.0025,sgd,cross_entropy,1349,14,7,26,10,2620,41,41,6,27,971,30,24,35,42,2608
AlexNet,8,0,101,37,100,2019-03-31 19:15,0.11663885814387624,0.960619918699187,0.0025,sgd,cross_entropy,1356,10,10,16,5,2615,37,40,6,21,967,25,22,50,47,2624
AlexNet,8,0,101,38,100,2019-03-31 19:19,0.1184107152427115,0.9583333333333334,0.0025,sgd,cross_entropy,1355,11,13,19,11,2611,39,40,6,23,964,32,17,51,45,2614
AlexNet,8,0,101,39,100,2019-03-31 19:23,0.11711297384122522,0.9594766260162602,0.0025,sgd,cross_entropy,1354,9,10,20,11,2612,37,48,8,26,973,23,16,49,41,2614
AlexNet,8,0,101,40,100,2019-03-31 19:26,0.10859427413320154,0.9627794715447154,0.00125,sgd,cross_entropy,1360,13,12,14,11,2630,33,47,3,19,981,36,15,34,35,2608
AlexNet,8,0,101,41,100,2019-03-31 19:30,0.1117967357480429,0.9604928861788617,0.00125,sgd,cross_entropy,1355,8,18,14,8,2624,40,45,6,25,961,25,20,39,42,2621
AlexNet,8,0,101,42,100,2019-03-31 19:33,0.11177452986802512,0.9615091463414634,0.00125,sgd,cross_entropy,1358,8,6,17,10,2626,41,42,6,16,969,30,15,46,45,2616
