model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
ResNet18,24,0,256,1,100,2019-03-31 11:59,1.1292128482107389,0.5323093220338984,0.001,sgd,cross_entropy,456,48,70,48,295,1728,485,791,42,32,34,24,603,661,399,1802
ResNet18,24,0,256,2,100,2019-03-31 12:04,0.8186385591151351,0.722457627118644,0.001,sgd,cross_entropy,943,55,99,61,140,2098,383,278,11,11,104,15,302,305,402,2311
ResNet18,24,0,256,3,100,2019-03-31 12:09,0.6515442153154793,0.784030720338983,0.001,sgd,cross_entropy,1123,44,94,79,96,2200,344,226,13,23,265,27,164,202,285,2333
ResNet18,24,0,256,4,100,2019-03-31 12:13,0.5471976328704317,0.8260063559322034,0.001,sgd,cross_entropy,1208,41,86,68,67,2226,296,167,10,33,413,39,111,169,193,2391
ResNet18,24,0,256,5,100,2019-03-31 12:18,0.4713687250169657,0.8519597457627118,0.001,sgd,cross_entropy,1266,32,67,63,46,2260,265,157,10,38,517,54,74,139,139,2391
ResNet18,24,0,256,6,100,2019-03-31 12:23,0.41481881222482453,0.8650688559322034,0.001,sgd,cross_entropy,1295,25,57,64,36,2262,249,126,10,46,552,51,55,136,130,2424
ResNet18,24,0,256,7,100,2019-03-31 12:27,0.3727181968042406,0.8801641949152542,0.001,sgd,cross_entropy,1318,21,53,60,27,2280,217,112,7,42,609,53,44,126,109,2440
ResNet18,24,0,256,8,100,2019-03-31 12:32,0.3391330525026483,0.8907574152542372,0.001,sgd,cross_entropy,1320,19,45,46,26,2306,211,94,12,37,635,59,38,107,97,2466
ResNet18,24,0,256,9,100,2019-03-31 12:37,0.30526338997533764,0.903469279661017,0.001,sgd,cross_entropy,1337,14,39,45,18,2310,185,86,9,41,688,46,32,104,76,2488
ResNet18,24,0,256,10,100,2019-03-31 12:41,0.2843744310282044,0.9088983050847458,0.0005,sgd,cross_entropy,1333,9,41,45,27,2335,180,81,10,36,705,48,26,89,62,2491
